user_id,email_open_rate,email_click_rate
U100267,0.392,0.176
U100268,0.434,0.244
U100269,0.366,0.205
U100270,0.733,0.379
U100271,0.232,0.095
U100272,0.521,0.311
U100273,0.936,0.49
U100274,0.506,0.197
U100275,0.488,0.225
U100276,0.651,0.367
U100277,0.543,0.217
U100278,0.565,0.328
U100279,0.455,0.245
U100280,0.07,0.033
U100281,0.454,0.192
U100282,0.373,0.157
U100283,0.363,0.135
U100284,0.497,0.238
U100285,0.393,0.167
U100286,0.399,0.218
U100287,0.358,0.181
U100288,0.378,0.151
U100289,0.616,0.324
U100290,0.647,0.317
U100291,0.341,0.17
U100292,0.244,0.087
U100293,0.391,0.149
U100294,0.438,0.197
U100295,0.09,0.043
U100296,0.324,0.183
U100297,0.221,0.109
U100298,0.949,0.512
U100299,0.31,0.178
U100300,0.741,0.343
U100301,0.723,0.361
U100302,0.329,0.151
U100303,0.626,0.288
U100304,0.579,0.232
U100305,0.402,0.206
U100306,0.411,0.212
U100307,0.758,0.27
U100308,0.334,0.164
U100309,0.312,0.155
U100310,0.359,0.215
U100311,0.64,0.261
U100312,0.137,0.077
U100314,0.37,0.198
U100315,0.374,0.142
U100316,0.546,0.261
U100317,0.553,0.205
U100318,0.727,0.434
U100319,0.696,0.363
U100320,0.553,0.232
U100321,0.547,0.328
U100322,0.633,0.271
U100323,0.663,0.313
U100324,0.54,0.304
U100325,0.636,0.324
U100326,0.371,0.214
U100327,0.744,0.41
U100328,0.495,0.281
U100329,0.437,0.254
U100330,0.621,0.283
U100331,0.347,0.145
U100333,0.327,0.143
U100334,0.653,0.297
U100335,0.761,0.287
U100336,0.202,0.117
U100337,0.35,0.194
U100338,0.769,0.314
U100339,0.272,0.127
U100340,0.523,0.195
U100341,0.468,0.264
U100342,0.356,0.135
U100343,0.577,0.317
U100344,0.653,0.258
U100345,0.228,0.083
U100346,0.591,0.214
U100347,0.437,0.154
U100348,0.265,0.11
U100349,0.346,0.125
U100350,0.56,0.259
U100351,0.146,0.057
U100352,0.601,0.332
U100353,0.306,0.11
U100354,0.524,0.265
U100355,0.269,0.111
U100356,0.46,0.196
U100357,0.168,0.075
U100358,0.552,0.268
U100359,0.587,0.348
U100360,0.302,0.168
U100361,0.52,0.289
U100362,0.318,0.125
U100364,0.313,0.167
U100365,0.338,0.196
U100366,0.369,0.201
U100367,0.634,0.338
U100368,0.687,0.376
U100369,0.662,0.308
U100370,0.515,0.298
U100371,0.29,0.112
U100372,0.067,0.024
U100373,0.301,0.107
U100374,0.314,0.167
U100375,0.409,0.245
U100376,0.827,0.399
U100377,0.438,0.209
U100378,0.326,0.145
U100379,0.231,0.083
U100380,0.709,0.299
U100381,0.537,0.227
U100382,0.512,0.208
U100383,0.671,0.334
U100384,0.539,0.287
U100385,0.747,0.359
U100386,0.509,0.287
U100387,0.403,0.217
U100388,0.663,0.238
U100389,0.506,0.195
U100390,0.526,0.231
U100391,0.553,0.323
U100392,0.59,0.354
U100393,0.449,0.161
U100394,0.386,0.213
U100395,0.524,0.277
U100396,0.644,0.373
U100397,0.452,0.182
U100398,0.467,0.227
U100399,0.368,0.158
U100400,0.523,0.212
U100401,0.531,0.278
U100402,0.469,0.264
U100403,0.322,0.166
U100404,0.335,0.16
U100405,0.29,0.122
U100406,0.581,0.272
U100407,0.454,0.164
U100408,0.522,0.202
U100409,0.396,0.193
U100410,0.408,0.179
U100411,0.747,0.43
U100412,0.844,0.477
U100413,0.389,0.199
U100414,0.561,0.324
U100415,0.655,0.301
U100416,0.314,0.169
U100417,0.117,0.058
U100418,0.345,0.173
U100419,0.149,0.053
U100420,0.887,0.517
U100421,0.581,0.227
U100422,0.629,0.287
U100423,0.561,0.243
U100424,0.242,0.132
U100425,0.416,0.242
U100426,0.774,0.41
U100427,0.348,0.137
U100428,0.213,0.087
U100429,0.567,0.325
U100430,0.53,0.243
U100431,0.411,0.202
U100432,0.576,0.327
U100433,0.545,0.214
U100434,0.701,0.247
U100435,0.541,0.197
U100436,0.428,0.155
U100437,0.654,0.258
U100438,0.635,0.32
U100439,0.401,0.232
U100440,0.328,0.196
U100441,0.99,0.401
U100442,0.731,0.421
U100443,0.569,0.204
U100444,0.469,0.272
U100445,0.505,0.231
U100446,0.716,0.283
U100447,0.292,0.172
U100448,0.563,0.265
U100449,0.67,0.31
U100450,0.51,0.207
U100451,0.51,0.294
U100454,0.292,0.148
U100455,0.483,0.191
U100456,0.536,0.246
U100457,0.542,0.198
U100458,0.773,0.418
U100460,0.383,0.221
U100461,0.508,0.28
U100462,0.44,0.163
U100463,0.537,0.228
U100464,0.467,0.192
U100465,0.789,0.388
U100466,0.489,0.259
U100467,0.556,0.263
U100468,0.554,0.312
U100469,0.124,0.066
U100470,0.416,0.166
U100471,0.425,0.207
U100472,0.708,0.348
U100473,0.82,0.476
U100474,0.509,0.296
U100475,0.462,0.237
U100476,0.332,0.175
U100477,0.478,0.233
U100478,0.482,0.181
U100479,0.402,0.147
U100480,0.831,0.478
U100481,0.353,0.13
U100483,0.226,0.117
U100484,0.189,0.111
U100485,0.792,0.469
U100486,0.434,0.211
U100487,0.347,0.166
U100488,0.43,0.164
U100489,0.798,0.446
U100490,0.76,0.365
U100491,0.239,0.096
U100492,0.339,0.15
U100493,0.478,0.201
U100494,0.683,0.361
U100495,0.709,0.372
U100496,0.286,0.131
U100497,0.353,0.2
U100498,0.35,0.156
U100499,0.389,0.183
U100500,0.484,0.274
U100501,0.633,0.359
U100502,0.201,0.093
U100503,0.731,0.385
U100504,0.448,0.225
U100505,0.695,0.249
U100506,0.397,0.144
U100507,0.357,0.158
U100508,0.621,0.347
U100509,0.473,0.257
U100510,0.596,0.289
U100511,0.484,0.259
U100512,0.455,0.217
U100513,0.378,0.187
U100514,0.081,0.045
U100515,0.328,0.115
U100516,0.615,0.313
U100517,0.527,0.241
U100518,0.863,0.381
U100519,0.72,0.38
U100520,0.682,0.301
U100521,0.059,0.024
U100522,0.286,0.107
U100523,0.553,0.22
U100524,0.28,0.114
U100526,0.339,0.176
U100527,0.469,0.179
U100528,0.495,0.241
U100529,0.539,0.203
U100530,0.666,0.265
U100531,0.587,0.337
U100532,0.627,0.227
U100533,0.682,0.409
U100534,0.643,0.264
U100535,0.282,0.113
U100536,0.352,0.129
U100537,0.572,0.246
U100538,0.413,0.242
U100539,0.756,0.444
U100540,0.445,0.233
U100541,0.305,0.179
U100542,0.396,0.18
U100543,0.299,0.146
U100544,0.465,0.244
U100545,0.752,0.323
U100546,0.459,0.171
U100547,0.595,0.224
U100548,0.566,0.285
U100549,0.507,0.268
U100550,0.665,0.296
U100551,0.511,0.298
U100552,0.57,0.279
U100553,0.429,0.256
U100554,0.274,0.154
U100555,0.36,0.191
U100556,0.334,0.152
U100557,0.878,0.43
U100558,0.598,0.265
U100559,0.797,0.313
U100560,0.347,0.134
U100561,0.615,0.334
U100562,0.516,0.238
U100563,0.469,0.213
U100564,0.541,0.317
U100565,0.437,0.21
U100566,0.405,0.172
U100567,0.672,0.26
U100568,0.433,0.183
U100569,0.717,0.428
U100570,0.679,0.268
U100571,0.475,0.238
U100572,0.554,0.327
U100573,0.583,0.245
U100574,0.48,0.241
U100575,0.591,0.325
U100576,0.524,0.217
U100577,0.543,0.28
U100578,0.385,0.21
U100579,0.275,0.116
U100580,0.746,0.309
U100581,0.505,0.233
U100582,0.458,0.195
U100583,0.369,0.152
U100584,0.659,0.341
U100585,0.592,0.286
U100586,0.567,0.268
U100587,0.221,0.126
U100588,0.413,0.172
U100589,0.317,0.118
U100590,0.358,0.202
U100591,0.388,0.192
U100592,0.778,0.395
U100593,0.639,0.285
U100594,0.484,0.289
U100595,0.445,0.24
U100596,0.678,0.367
U100597,0.75,0.331
U100598,0.483,0.19
U100599,0.578,0.25
U100600,0.62,0.333
U100601,0.645,0.254
U100602,0.596,0.298
U100603,0.461,0.174
U100604,0.464,0.26
U100605,0.709,0.332
U100606,0.506,0.239
U100607,0.709,0.288
U100608,0.429,0.157
U100609,0.566,0.203
U100610,0.569,0.307
U100611,0.112,0.045
U100612,0.464,0.276
U100613,0.433,0.17
U100614,0.299,0.145
U100615,0.478,0.173
U100616,0.822,0.337
U100617,0.787,0.405
U100618,0.545,0.265
U100619,0.484,0.275
U100620,0.297,0.138
U100621,0.449,0.251
U100622,0.437,0.177
U100623,0.411,0.144
U100624,0.66,0.394
U100625,0.439,0.207
U100626,0.621,0.221
U100627,0.238,0.113
U100628,0.509,0.276
U100629,0.327,0.117
U100630,0.579,0.301
U100631,0.25,0.129
U100632,0.381,0.161
U100633,0.269,0.115
U100634,0.382,0.157
U100635,0.797,0.381
U100636,0.503,0.25
U100637,0.668,0.237
U100638,0.771,0.452
U100639,0.242,0.092
U100640,0.74,0.413
U100641,0.709,0.303
U100642,0.734,0.424
U100643,0.562,0.223
U100644,0.395,0.193
U100646,0.63,0.257
U100647,0.561,0.327
U100648,0.401,0.208
U100649,0.418,0.239
U100650,0.493,0.223
U100651,0.766,0.386
U100652,0.759,0.3
U100653,0.599,0.344
U100654,0.557,0.312
U100655,0.237,0.112
U100656,0.829,0.324
U100657,0.558,0.278
U100658,0.564,0.268
U100659,0.346,0.164
U100660,0.459,0.192
U100661,0.521,0.211
U100662,0.481,0.238
U100663,0.447,0.229
U100664,0.316,0.141
U100665,0.398,0.229
U100666,0.611,0.272
U100668,0.57,0.289
U100669,0.458,0.187
U100670,0.374,0.143
U100671,0.401,0.155
U100672,0.718,0.364
U100673,0.686,0.391
U100674,0.446,0.263
U100675,0.628,0.294
U100676,0.648,0.24
U100677,0.365,0.215
U100678,0.492,0.197
U100679,0.274,0.14
U100680,0.831,0.299
U100681,0.818,0.373
U100682,0.665,0.248
U100683,0.687,0.296
U100684,0.611,0.277
U100685,0.465,0.226
U100686,0.778,0.399
U100687,0.776,0.446
U100688,0.849,0.298
U100689,0.273,0.125
U100690,0.345,0.168
U100691,0.476,0.259
U100692,0.434,0.19
U100693,0.405,0.243
U100695,0.256,0.142
U100696,0.498,0.217
U100697,0.342,0.202
U100698,0.478,0.252
U100699,0.455,0.221
U100700,0.275,0.151
U100701,0.472,0.21
U100702,0.693,0.346
U100703,0.533,0.257
U100704,0.362,0.213
U100705,0.372,0.218
U100706,0.451,0.212
U100707,0.643,0.362
U100708,0.304,0.118
U100709,0.607,0.255
U100710,0.22,0.079
U100711,0.604,0.311
U100712,0.136,0.079
U100713,0.663,0.254
U100714,0.784,0.454
U100715,0.55,0.328
U100716,0.63,0.279
U100717,0.689,0.369
U100719,0.416,0.226
U100720,0.365,0.191
U100721,0.536,0.271
U100722,0.545,0.32
U100723,0.701,0.322
U100724,0.399,0.208
U100725,0.685,0.36
U100726,0.522,0.281
U100727,0.9,0.469
U100728,0.488,0.259
U100729,0.521,0.291
U100730,0.429,0.203
U100731,0.539,0.257
U100732,0.778,0.41
U100733,0.678,0.305
U100734,0.586,0.297
U100735,0.418,0.165
U100736,0.806,0.396
U100737,0.727,0.308
U100738,0.383,0.168
U100739,0.497,0.199
U100740,0.664,0.305
U100741,0.433,0.205
U100742,0.154,0.079
U100743,0.717,0.409
U100744,0.809,0.333
U100745,0.471,0.218
U100746,0.859,0.387
U100747,0.39,0.171
U100748,0.473,0.228
U100749,0.234,0.126
U100750,0.849,0.388
U100751,0.588,0.336
U100752,0.507,0.231
U100753,0.43,0.185
U100754,0.815,0.395
U100755,0.516,0.304
U100756,0.526,0.239
U100757,0.796,0.384
U100758,0.428,0.183
U100759,0.382,0.225
U100760,0.525,0.279
U100761,0.225,0.108
U100762,0.184,0.069
U100763,0.511,0.286
U100764,0.43,0.244
U100765,0.702,0.305
U100766,0.549,0.216
U100767,0.517,0.241
U100768,0.546,0.196
U100769,0.375,0.225
U100770,0.492,0.195
U100771,0.46,0.262
U100773,0.545,0.302
U100774,0.441,0.174
U100775,0.431,0.249
U100776,0.551,0.277
U100777,0.577,0.331
U100778,0.667,0.264
U100779,0.646,0.309
U100780,0.606,0.26
U100781,0.43,0.25
U100782,0.26,0.113
U100783,0.361,0.202
U100784,0.642,0.325
U100785,0.575,0.218
U100786,0.436,0.231
U100787,0.294,0.141
U100788,0.425,0.158
U100789,0.715,0.252
U100790,0.579,0.299
U100791,0.453,0.182
U100792,0.392,0.233
U100793,0.45,0.167
U100794,0.647,0.338
U100795,0.644,0.289
U100796,0.334,0.166
U100797,0.489,0.251
U100798,0.514,0.251
U100799,0.263,0.146
U100800,0.583,0.328
U100801,0.562,0.215
U100802,0.121,0.056
U100803,0.356,0.206
U100804,0.359,0.158
U100805,0.433,0.233
U100806,0.255,0.116
U100807,0.303,0.155
U100808,0.456,0.22
U100809,0.603,0.235
U100810,0.196,0.11
U100811,0.365,0.192
U100812,0.729,0.321
U100813,0.505,0.182
U100814,0.575,0.261
U100815,0.481,0.257
U100816,0.232,0.094
U100817,0.147,0.052
U100818,0.716,0.416
U100819,0.327,0.167
U100820,0.755,0.376
U100821,0.205,0.084
U100822,0.523,0.281
U100823,0.737,0.42
U100824,0.377,0.18
U100825,0.383,0.17
U100826,0.674,0.387
U100827,0.673,0.331
U100828,0.546,0.291
U100829,0.223,0.101
U100830,0.376,0.157
U100831,0.249,0.108
U100832,0.708,0.307
U100833,0.727,0.432
U100834,0.277,0.116
U100835,0.42,0.19
U100836,0.363,0.191
U100837,0.596,0.325
U100838,0.552,0.328
U100839,0.179,0.097
U100840,0.633,0.304
U100841,0.299,0.111
U100842,0.179,0.107
U100843,0.621,0.354
U100844,0.488,0.174
U100845,0.489,0.291
U100846,0.38,0.177
U100847,0.467,0.202
U100848,0.379,0.168
U100849,0.166,0.066
U100850,0.606,0.232
U100851,0.461,0.179
U100852,0.621,0.253
U100853,0.845,0.477
U100854,0.346,0.193
U100856,0.527,0.262
U100857,0.567,0.259
U100858,0.71,0.412
U100860,0.71,0.253
U100861,0.113,0.063
U100862,0.34,0.137
U100863,0.307,0.139
U100864,0.517,0.181
U100865,0.287,0.104
U100866,0.801,0.319
U100867,0.375,0.201
U100868,0.713,0.253
U100869,0.783,0.339
U100870,0.619,0.261
U100871,0.315,0.167
U100872,0.378,0.14
U100873,0.559,0.312
U100874,0.385,0.154
U100875,0.54,0.211
U100876,0.463,0.195
U100877,0.501,0.249
U100878,0.495,0.277
U100879,0.193,0.096
U100880,0.608,0.311
U100881,0.61,0.333
U100882,0.674,0.274
U100883,0.499,0.243
U100884,0.62,0.281
U100885,0.601,0.284
U100886,0.476,0.261
U100887,0.708,0.377
U100889,0.486,0.213
U100890,0.548,0.286
U100891,0.508,0.258
U100892,0.297,0.171
U100894,0.141,0.082
U100896,0.369,0.143
U100897,0.375,0.205
U100898,0.549,0.203
U100899,0.165,0.08
U100900,0.236,0.096
U100901,0.736,0.417
U100902,0.468,0.261
U100903,0.491,0.177
U100904,0.414,0.199
U100905,0.282,0.134
U100906,0.141,0.075
U100907,0.454,0.162
U100908,0.682,0.367
U100909,0.941,0.363
U100910,0.573,0.261
U100911,0.366,0.152
U100912,0.533,0.316
U100913,0.536,0.21
U100914,0.271,0.145
U100915,0.547,0.208
U100916,0.699,0.282
U100917,0.646,0.302
U100918,0.494,0.224
U100919,0.891,0.487
U100921,0.43,0.162
U100922,0.514,0.213
U100923,0.525,0.19
U100924,0.187,0.073
U100925,0.609,0.363
U100926,0.211,0.09
U100927,0.505,0.277
U100928,0.511,0.204
U100929,0.571,0.321
U100930,0.258,0.114
U100931,0.289,0.105
U100932,0.486,0.265
U100933,0.65,0.35
U100934,0.797,0.337
U100935,0.454,0.267
U100936,0.391,0.15
U100937,0.307,0.108
U100938,0.27,0.121
U100940,0.424,0.169
U100941,0.338,0.154
U100942,0.401,0.166
U100943,0.665,0.304
U100944,0.525,0.258
U100945,0.303,0.179
U100946,0.485,0.262
U100947,0.269,0.099
U100948,0.559,0.269
U100949,0.373,0.206
U100950,0.608,0.358
U100951,0.566,0.264
U100952,0.404,0.205
U100953,0.579,0.312
U100954,0.472,0.195
U100955,0.298,0.148
U100956,0.642,0.372
U100957,0.541,0.301
U100958,0.447,0.196
U100959,0.477,0.21
U100960,0.641,0.229
U100961,0.515,0.234
U100962,0.702,0.387
U100963,0.761,0.453
U100964,0.807,0.43
U100965,0.362,0.147
U100966,0.499,0.264
U100967,0.266,0.134
U100968,0.421,0.223
U100969,0.609,0.262
U100970,0.301,0.172
U100971,0.856,0.408
U100972,0.539,0.224
U100973,0.284,0.119
U100974,0.48,0.261
U100975,0.375,0.167
U100976,0.443,0.2
U100977,0.533,0.316
U100978,0.68,0.239
U100979,0.335,0.199
U100980,0.396,0.199
U100981,0.386,0.229
U100982,0.422,0.159
U100983,0.464,0.198
U100984,0.193,0.073
U100985,0.705,0.363
U100986,0.436,0.248
U100987,0.585,0.326
U100988,0.801,0.407
U100989,0.492,0.245
U100990,0.7,0.402
U100991,0.714,0.398
U100992,0.349,0.138
U100993,0.579,0.251
U100994,0.396,0.168
U100995,0.374,0.199
U100996,0.578,0.22
U100997,0.3,0.123
U100998,0.807,0.408
U100999,0.37,0.154
U101000,0.462,0.197
U101001,0.356,0.191
U101002,0.503,0.222
U101003,0.365,0.179
U101004,0.57,0.337
U101005,0.772,0.386
U101006,0.605,0.311
U101007,0.364,0.148
U101008,0.288,0.108
U101009,0.347,0.208
U101010,0.507,0.271
U101011,0.463,0.24
U101012,0.503,0.213
U101013,0.64,0.27
U101014,0.285,0.111
U101015,0.5,0.265
U101016,0.4,0.221
U101017,0.212,0.083
U101018,0.53,0.238
U101019,0.389,0.191
U101020,0.303,0.109
U101021,0.47,0.275
U101022,0.361,0.166
U101023,0.423,0.221
U101024,0.385,0.158
U101025,0.746,0.311
U101026,0.254,0.145
U101027,0.471,0.201
U101028,0.49,0.237
U101029,0.237,0.098
U101030,0.383,0.199
U101031,0.439,0.22
U101032,0.515,0.273
U101033,0.422,0.17
U101034,0.708,0.356
U101035,0.45,0.191
U101036,0.257,0.12
U101037,0.793,0.372
U101038,0.691,0.32
U101039,0.768,0.393
U101040,0.639,0.259
U101041,0.731,0.432
U101042,0.278,0.143
U101043,0.573,0.202
U101045,0.315,0.15
U101046,0.519,0.267
U101047,0.646,0.356
U101048,0.249,0.096
U101049,0.567,0.308
U101050,0.61,0.234
U101051,0.759,0.294
U101052,0.509,0.253
U101053,0.32,0.191
U101054,0.789,0.446
U101055,0.376,0.16
U101056,0.373,0.211
U101057,0.357,0.188
U101058,0.567,0.257
U101059,0.248,0.132
U101060,0.469,0.217
U101061,0.48,0.205
U101062,0.354,0.133
U101063,0.588,0.229
U101064,0.399,0.238
U101065,0.69,0.4
U101067,0.588,0.284
U101068,0.681,0.366
U101069,0.522,0.27
U101070,0.27,0.156
U101071,0.791,0.305
U101072,0.369,0.142
U101073,0.766,0.292
U101074,0.565,0.303
U101075,0.343,0.185
U101076,0.827,0.354
U101077,0.41,0.159
U101078,0.462,0.19
U101079,0.657,0.373
U101080,0.498,0.219
U101081,0.706,0.337
U101082,0.526,0.287
U101083,0.625,0.269
U101084,0.68,0.373
U101085,0.149,0.054
U101086,0.223,0.086
U101087,0.879,0.516
U101088,0.28,0.129
U101089,0.692,0.34
U101090,0.729,0.377
U101091,0.44,0.183
U101092,0.722,0.407
U101093,0.761,0.33
U101094,0.776,0.459
U101095,0.887,0.508
U101096,0.405,0.196
U101097,0.311,0.181
U101098,0.441,0.177
U101099,0.399,0.197
U101100,0.645,0.237
U101101,0.539,0.246
U101102,0.438,0.173
U101103,0.703,0.295
U101104,0.694,0.247
U101105,0.38,0.14
U101106,0.436,0.227
U101107,0.303,0.155
U101108,0.526,0.288
U101109,0.377,0.212
U101110,0.368,0.191
U101111,0.655,0.299
U101112,0.38,0.14
U101113,0.506,0.278
U101114,0.25,0.145
U101115,0.475,0.273
U101116,0.277,0.147
U101117,0.794,0.333
U101118,0.201,0.071
U101119,0.607,0.361
U101120,0.351,0.196
U101121,0.506,0.28
U101122,0.419,0.191
U101123,0.501,0.204
U101124,0.625,0.32
U101125,0.882,0.428
U101126,0.433,0.242
U101127,0.424,0.16
U101128,0.72,0.36
U101129,0.52,0.206
U101130,0.271,0.099
U101131,0.579,0.337
U101133,0.78,0.416
U101134,0.45,0.167
U101135,0.283,0.142
U101136,0.441,0.19
U101137,0.481,0.272
U101138,0.575,0.219
U101139,0.567,0.199
U101140,0.727,0.391
U101141,0.157,0.062
U101142,0.289,0.124
U101143,0.39,0.177
U101144,0.231,0.102
U101145,0.445,0.207
U101147,0.566,0.294
U101148,0.797,0.45
U101150,0.634,0.302
U101151,0.415,0.15
U101152,0.718,0.306
U101153,0.596,0.327
U101154,0.523,0.202
U101155,0.688,0.398
U101156,0.434,0.196
U101157,0.473,0.189
U101158,0.346,0.166
U101159,0.289,0.133
U101160,0.263,0.115
U101161,0.375,0.212
U101162,0.451,0.175
U101163,0.444,0.158
U101164,0.778,0.354
U101165,0.413,0.216
U101166,0.513,0.243
U101167,0.56,0.31
U101168,0.531,0.197
U101169,0.467,0.247
U101170,0.874,0.423
U101171,0.545,0.269
U101172,0.52,0.269
U101174,0.306,0.171
U101175,0.404,0.196
U101176,0.451,0.264
U101177,0.157,0.09
U101178,0.672,0.243
U101179,0.727,0.269
U101180,0.546,0.291
U101181,0.763,0.338
U101182,0.252,0.127
U101183,0.601,0.325
U101184,0.248,0.117
U101185,0.651,0.266
U101186,0.447,0.261
U101187,0.619,0.327
U101188,0.781,0.284
U101189,0.86,0.375
U101190,0.553,0.197
U101191,0.732,0.294
U101192,0.474,0.247
U101193,0.64,0.303
U101194,0.572,0.31
U101195,0.402,0.209
U101196,0.509,0.235
U101197,0.434,0.216
