user_id,plan,upgrade_date,mrr_usd
U101727,course_bundle,2026-05-07,59
U100915,academy_monthly,2026-05-29,39
U101803,academy_monthly,2026-12-04,39
U101864,academy_monthly,2026-05-14,39
U100795,academy_annual,2026-06-19,29
U100230,course_bundle,2026-09-15,59
U101847,academy_annual,2026-05-24,29
U100990,academy_annual,2026-09-25,29
U101677,course_bundle,2026-12-04,59
U101409,course_bundle,2026-06-20,59
U100080,academy_annual,2026-11-07,29
U101900,course_bundle,2026-07-02,59
U100537,course_bundle,2026-10-13,59
U100480,academy_monthly,2026-02-07,39
U100485,course_bundle,2026-08-09,59
U100732,academy_annual,2026-05-27,29
U100260,academy_annual,2026-06-16,29
U100518,course_bundle,2026-03-13,59
U101092,course_bundle,2026-07-06,59
U100971,course_bundle,2026-10-01,59
U101425,course_bundle,2026-10-09,59
U100426,academy_annual,2026-04-15,29
U100024,course_bundle,2026-05-06,59
U101860,academy_monthly,2026-06-29,39
U101051,academy_annual,2026-08-11,29
U100559,academy_monthly,2026-02-19,39
U100317,academy_annual,2026-06-11,29
U101397,course_bundle,2026-06-24,59
U101868,academy_monthly,2026-09-30,39
U100273,course_bundle,2026-10-22,59
U101467,course_bundle,2026-02-04,59
U101866,course_bundle,2026-12-22,59
U101840,academy_monthly,2026-03-01,39
U101309,academy_annual,2026-05-27,29
U101773,academy_monthly,2026-05-06,39
U100061,academy_monthly,2026-07-22,39
U100566,course_bundle,2026-04-30,59
U101041,course_bundle,2026-07-01,59
U101836,academy_annual,2026-05-23,29
U100092,academy_monthly,2026-11-19,39
U101450,academy_annual,2026-08-03,29
U100400,course_bundle,2026-11-16,59
U100141,academy_annual,2026-07-24,29
U101035,academy_annual,2026-05-25,29
U100063,academy_monthly,2026-11-11,39
U101356,course_bundle,2026-04-29,59
U101687,academy_annual,2026-12-11,29
U100388,course_bundle,2026-09-07,59
U100609,course_bundle,2026-11-13,59
U100313,academy_annual,2026-06-03,29
U100186,academy_annual,2026-05-04,29
U101370,academy_monthly,2026-06-30,39
U101902,course_bundle,2026-07-29,59
U100520,academy_annual,2026-08-19,29
U101150,academy_monthly,2026-07-18,39
U101055,course_bundle,2026-08-19,59
U101096,academy_annual,2026-02-20,29
U101908,academy_annual,2026-06-28,29
U100916,academy_annual,2026-07-18,29
