user_id,profile_source,university_name,school_tier,class_year,major_name,major_cat
U101665,email_capture,University of Michigan,target,senior,Accounting,finance_econ
U100290,info_session_registration,Kent State University,non_target,junior,Economics,finance_econ
U101867,info_session_registration,San Diego State,non_target,freshman,Engineering,stem
U100170,resume_template_form,University of Illinois,semi_target,senior,Computer Science,stem
U100214,resume_template_form,University of Illinois,semi_target,freshman,Engineering,stem
U100166,self_completed_profile,Harvard University,target,senior,History,other
U100993,resume_workshop_registration,University of Virginia,semi_target,senior,Psychology,other
U100473,info_session_registration,Harvard University,target,junior,Engineering,stem
U100898,email_capture,Emory University,semi_target,senior,Psychology,other
U101898,email_capture,Arizona State University,non_target,senior,Psychology,other
U101320,resume_template_form,University of Nevada,non_target,freshman,Economics,finance_econ
U100027,email_capture,San Diego State,non_target,freshman,Computer Science,stem
U100818,resume_workshop_registration,Harvard University,target,junior,Statistics,stem
U100033,resume_template_form,Kent State University,non_target,junior,Accounting,finance_econ
U100369,resume_template_form,University of Pennsylvania,target,sophomore,Communications,other
U101552,info_session_registration,University of Michigan,target,sophomore,Finance,finance_econ
U100041,resume_template_form,Kent State University,non_target,sophomore,Finance,finance_econ
U100574,info_session_registration,University of Illinois,semi_target,sophomore,Mathematics,stem
U101472,resume_template_form,Ohio State University,semi_target,junior,Mathematics,stem
U101793,resume_template_form,Ohio State University,semi_target,senior,Economics,finance_econ
U100730,resume_template_form,University of Chicago,target,junior,Communications,other
U101627,resume_workshop_registration,UT Austin,semi_target,junior,Finance,finance_econ
U100924,resume_template_form,New York University,target,junior,Computer Science,stem
U101528,info_session_registration,Temple University,non_target,junior,Political Science,other
U100503,info_session_registration,San Diego State,non_target,junior,Accounting,finance_econ
U101614,resume_workshop_registration,University of Virginia,semi_target,senior,Statistics,stem
U100198,info_session_registration,Arizona State University,non_target,junior,Political Science,other
U100044,resume_template_form,University of Pennsylvania,target,junior,Engineering,stem
U101890,self_completed_profile,Temple University,non_target,sophomore,History,other
U101314,resume_template_form,Harvard University,target,sophomore,Psychology,other
U100009,resume_template_form,University of Virginia,semi_target,sophomore,Communications,other
U101827,email_capture,University of Chicago,target,junior,Economics,finance_econ
U100536,info_session_registration,University of Illinois,semi_target,junior,Communications,other
U100953,info_session_registration,UT Austin,semi_target,junior,Communications,other
U101080,resume_template_form,Ohio State University,semi_target,junior,Statistics,stem
U101548,email_capture,Temple University,non_target,junior,Finance,finance_econ
U100581,info_session_registration,San Diego State,non_target,senior,Communications,other
U101982,info_session_registration,Kent State University,non_target,junior,Finance,finance_econ
U100382,info_session_registration,San Diego State,non_target,sophomore,Finance,finance_econ
U100797,info_session_registration,University of Virginia,semi_target,sophomore,Computer Science,stem
U100823,resume_workshop_registration,University of Pennsylvania,target,junior,Finance,finance_econ
U101652,resume_template_form,Kent State University,non_target,sophomore,Engineering,stem
U100277,email_capture,University of Illinois,semi_target,freshman,Finance,finance_econ
U100711,resume_template_form,University of Kansas,non_target,junior,Political Science,other
U100288,resume_template_form,Emory University,semi_target,junior,Computer Science,stem
U101789,resume_template_form,Ohio State University,semi_target,sophomore,Statistics,stem
U101812,resume_template_form,University of Kansas,non_target,sophomore,Mathematics,stem
U101579,email_capture,UT Austin,semi_target,junior,Engineering,stem
U101021,resume_template_form,UT Austin,semi_target,junior,History,other
U101667,resume_template_form,Arizona State University,non_target,freshman,Finance,finance_econ
U100828,self_completed_profile,New York University,target,junior,Computer Science,stem
U101442,resume_workshop_registration,University of Illinois,semi_target,junior,Economics,finance_econ
U100440,info_session_registration,University of Michigan,target,senior,Economics,finance_econ
U100100,resume_template_form,Ohio State University,semi_target,senior,Psychology,other
U100025,email_capture,Temple University,non_target,junior,Computer Science,stem
U100476,resume_workshop_registration,Kent State University,non_target,freshman,Political Science,other
U101425,resume_workshop_registration,University of Illinois,semi_target,junior,Finance,finance_econ
U101079,resume_workshop_registration,University of Illinois,semi_target,junior,Finance,finance_econ
U101078,info_session_registration,Ohio State University,semi_target,junior,Computer Science,stem
U101796,resume_template_form,San Diego State,non_target,sophomore,Accounting,finance_econ
U100313,resume_workshop_registration,Boston College,semi_target,junior,Communications,other
U100243,resume_workshop_registration,Ohio State University,semi_target,senior,Statistics,stem
U101769,resume_workshop_registration,University of Illinois,semi_target,junior,Engineering,stem
U100418,resume_template_form,University of Virginia,semi_target,freshman,Finance,finance_econ
U101911,email_capture,University of Kansas,non_target,sophomore,Statistics,stem
U101137,info_session_registration,Boston College,semi_target,sophomore,Engineering,stem
U101746,email_capture,Ohio State University,semi_target,sophomore,Statistics,stem
U100340,self_completed_profile,University of Kansas,non_target,freshman,Psychology,other
U101488,self_completed_profile,University of Illinois,semi_target,senior,History,other
U100951,info_session_registration,University of Michigan,target,senior,Accounting,finance_econ
U100632,self_completed_profile,New York University,target,freshman,Political Science,other
U101660,resume_workshop_registration,University of Michigan,target,junior,Statistics,stem
U100168,resume_template_form,University of Virginia,semi_target,junior,Mathematics,stem
U101605,resume_template_form,University of Pennsylvania,target,sophomore,Economics,finance_econ
U101237,self_completed_profile,UT Austin,semi_target,freshman,Mathematics,stem
U100061,self_completed_profile,New York University,target,sophomore,Economics,finance_econ
U100518,resume_workshop_registration,UT Austin,semi_target,junior,Mathematics,stem
U100175,resume_workshop_registration,Boston College,semi_target,junior,Computer Science,stem
U100385,resume_workshop_registration,Boston College,semi_target,junior,Psychology,other
U101266,resume_template_form,Boston College,semi_target,junior,History,other
U100707,info_session_registration,UT Austin,semi_target,senior,Accounting,finance_econ
U100786,resume_template_form,Ohio State University,semi_target,junior,History,other
U101255,resume_workshop_registration,University of Kansas,non_target,senior,Finance,finance_econ
U101501,self_completed_profile,University of Pennsylvania,target,freshman,Economics,finance_econ
U101207,resume_template_form,University of Pennsylvania,target,junior,Computer Science,stem
U101335,self_completed_profile,Harvard University,target,sophomore,Finance,finance_econ
U100918,info_session_registration,University of Kansas,non_target,junior,Psychology,other
U100274,resume_workshop_registration,University of Virginia,semi_target,junior,Psychology,other
U101105,resume_template_form,University of Virginia,semi_target,freshman,Computer Science,stem
U101893,email_capture,University of Kansas,non_target,sophomore,Computer Science,stem
U100851,resume_template_form,Arizona State University,non_target,junior,Political Science,other
U100946,email_capture,San Diego State,non_target,sophomore,Communications,other
U101210,self_completed_profile,University of Kansas,non_target,junior,Psychology,other
U101167,resume_template_form,Ohio State University,semi_target,senior,Accounting,finance_econ
U100011,resume_template_form,University of Michigan,target,sophomore,Communications,other
U100147,email_capture,Arizona State University,non_target,freshman,Political Science,other
U101522,email_capture,University of Nevada,non_target,junior,Economics,finance_econ
U100827,info_session_registration,University of Chicago,target,junior,Communications,other
U101134,resume_workshop_registration,Emory University,semi_target,junior,Political Science,other
U101388,self_completed_profile,Cornell University,target,junior,Economics,finance_econ
U100451,resume_workshop_registration,Arizona State University,non_target,sophomore,Economics,finance_econ
U101664,email_capture,Harvard University,target,junior,History,other
U100425,self_completed_profile,Temple University,non_target,junior,Psychology,other
U100256,resume_template_form,Harvard University,target,junior,Mathematics,stem
U101019,resume_template_form,University of Nevada,non_target,junior,Political Science,other
U100401,resume_workshop_registration,University of Virginia,semi_target,sophomore,Computer Science,stem
U100078,resume_template_form,UT Austin,semi_target,senior,Mathematics,stem
U101858,email_capture,University of Pennsylvania,target,freshman,Statistics,stem
U100563,resume_workshop_registration,University of Chicago,target,freshman,Accounting,finance_econ
U101794,resume_workshop_registration,University of Virginia,semi_target,junior,Finance,finance_econ
U101075,resume_template_form,Temple University,non_target,freshman,Communications,other
U100167,email_capture,Arizona State University,non_target,freshman,Psychology,other
U100002,resume_template_form,University of Chicago,target,senior,Economics,finance_econ
U100866,resume_workshop_registration,University of Illinois,semi_target,sophomore,History,other
U101032,email_capture,Temple University,non_target,senior,Political Science,other
U100124,resume_template_form,Ohio State University,semi_target,junior,Finance,finance_econ
U101433,resume_template_form,Temple University,non_target,senior,Engineering,stem
U101417,resume_template_form,University of Nevada,non_target,sophomore,History,other
U100959,resume_template_form,Temple University,non_target,junior,Political Science,other
U100666,info_session_registration,University of Pennsylvania,target,junior,Economics,finance_econ
U100379,email_capture,Boston College,semi_target,junior,History,other
U101036,resume_template_form,Temple University,non_target,freshman,Communications,other
U101444,email_capture,Harvard University,target,freshman,Engineering,stem
U100332,self_completed_profile,University of Illinois,semi_target,junior,History,other
U101267,email_capture,Cornell University,target,junior,History,other
U101328,resume_template_form,San Diego State,non_target,junior,Accounting,finance_econ
U100691,self_completed_profile,Temple University,non_target,sophomore,Communications,other
U101523,resume_template_form,Arizona State University,non_target,senior,Engineering,stem
U100206,self_completed_profile,Harvard University,target,junior,Political Science,other
U101852,resume_template_form,Ohio State University,semi_target,freshman,Statistics,stem
U101187,email_capture,University of Nevada,non_target,sophomore,Accounting,finance_econ
U101018,email_capture,University of Nevada,non_target,freshman,Political Science,other
U100631,email_capture,Temple University,non_target,sophomore,Computer Science,stem
U100489,info_session_registration,University of Virginia,semi_target,junior,Political Science,other
U100871,info_session_registration,Emory University,semi_target,senior,Statistics,stem
U101655,resume_workshop_registration,University of Virginia,semi_target,freshman,Political Science,other
U100024,resume_workshop_registration,University of Pennsylvania,target,junior,Computer Science,stem
U101532,self_completed_profile,University of Kansas,non_target,junior,Computer Science,stem
U100881,resume_workshop_registration,University of Nevada,non_target,junior,Finance,finance_econ
U100141,email_capture,University of Michigan,target,senior,Engineering,stem
U100140,resume_template_form,UT Austin,semi_target,junior,Engineering,stem
U101628,email_capture,University of Illinois,semi_target,junior,Computer Science,stem
U101908,resume_template_form,New York University,target,junior,Accounting,finance_econ
U101217,resume_workshop_registration,Arizona State University,non_target,sophomore,Mathematics,stem
U100787,email_capture,Cornell University,target,sophomore,Political Science,other
U102000,info_session_registration,UT Austin,semi_target,junior,Statistics,stem
U100346,resume_template_form,Harvard University,target,sophomore,Accounting,finance_econ
U100446,resume_template_form,University of Virginia,semi_target,junior,Psychology,other
U101880,resume_template_form,Emory University,semi_target,junior,Engineering,stem
U101920,email_capture,Kent State University,non_target,junior,Political Science,other
U100096,resume_workshop_registration,Ohio State University,semi_target,senior,Political Science,other
U101439,info_session_registration,University of Virginia,semi_target,senior,Political Science,other
U100608,resume_template_form,UT Austin,semi_target,junior,Statistics,stem
U101004,email_capture,University of Michigan,target,junior,Computer Science,stem
U100453,self_completed_profile,Kent State University,non_target,sophomore,Mathematics,stem
U101850,resume_template_form,Temple University,non_target,sophomore,Psychology,other
U100625,info_session_registration,UT Austin,semi_target,junior,Economics,finance_econ
U100294,resume_template_form,San Diego State,non_target,sophomore,Psychology,other
U100037,self_completed_profile,Emory University,semi_target,senior,History,other
U100941,email_capture,San Diego State,non_target,senior,Communications,other
U100770,email_capture,Ohio State University,semi_target,freshman,Computer Science,stem
U101163,info_session_registration,University of Illinois,semi_target,junior,Accounting,finance_econ
U100714,email_capture,Emory University,semi_target,senior,Accounting,finance_econ
U101681,info_session_registration,Ohio State University,semi_target,senior,Finance,finance_econ
U100971,email_capture,Harvard University,target,sophomore,Accounting,finance_econ
U100494,resume_workshop_registration,Cornell University,target,junior,Communications,other
U100237,resume_template_form,New York University,target,freshman,Statistics,stem
U100394,email_capture,University of Pennsylvania,target,freshman,History,other
U100541,self_completed_profile,Arizona State University,non_target,junior,Economics,finance_econ
U100673,info_session_registration,University of Illinois,semi_target,senior,Mathematics,stem
U100985,resume_template_form,Emory University,semi_target,freshman,Political Science,other
U100219,resume_template_form,University of Pennsylvania,target,freshman,Political Science,other
U100913,resume_template_form,Kent State University,non_target,senior,Statistics,stem
U101716,info_session_registration,Temple University,non_target,sophomore,Statistics,stem
U101091,email_capture,University of Kansas,non_target,junior,Finance,finance_econ
U100225,resume_template_form,UT Austin,semi_target,freshman,Psychology,other
U101820,info_session_registration,Temple University,non_target,senior,History,other
U101278,resume_template_form,Boston College,semi_target,junior,Communications,other
U100999,self_completed_profile,UT Austin,semi_target,sophomore,Computer Science,stem
U100414,info_session_registration,New York University,target,freshman,Accounting,finance_econ
U100459,resume_workshop_registration,University of Nevada,non_target,freshman,Economics,finance_econ
U101916,resume_workshop_registration,University of Illinois,semi_target,freshman,Computer Science,stem
U101642,resume_template_form,University of Chicago,target,junior,Statistics,stem
U101362,self_completed_profile,University of Kansas,non_target,sophomore,Mathematics,stem
U100094,email_capture,University of Virginia,semi_target,sophomore,Communications,other
U101263,info_session_registration,Emory University,semi_target,senior,Communications,other
U101440,resume_template_form,Kent State University,non_target,senior,Economics,finance_econ
U101082,resume_template_form,Kent State University,non_target,junior,Economics,finance_econ
U100791,info_session_registration,UT Austin,semi_target,sophomore,Statistics,stem
U101234,info_session_registration,San Diego State,non_target,sophomore,Political Science,other
U100354,email_capture,UT Austin,semi_target,junior,Finance,finance_econ
U101076,info_session_registration,University of Chicago,target,junior,Statistics,stem
U100931,resume_template_form,Arizona State University,non_target,sophomore,Political Science,other
U101294,resume_template_form,Cornell University,target,junior,Statistics,stem
U100925,info_session_registration,Kent State University,non_target,senior,Communications,other
U100832,resume_template_form,Emory University,semi_target,senior,Mathematics,stem
U100530,info_session_registration,University of Illinois,semi_target,junior,Finance,finance_econ
U101159,email_capture,Harvard University,target,senior,Economics,finance_econ
U101733,resume_template_form,New York University,target,sophomore,Statistics,stem
U100889,resume_workshop_registration,University of Virginia,semi_target,sophomore,Political Science,other
U100973,email_capture,University of Kansas,non_target,senior,Computer Science,stem
U101832,info_session_registration,University of Pennsylvania,target,senior,Accounting,finance_econ
U100433,info_session_registration,University of Nevada,non_target,junior,Statistics,stem
U101512,resume_template_form,University of Virginia,semi_target,freshman,History,other
U100683,self_completed_profile,UT Austin,semi_target,junior,Statistics,stem
U102001,resume_template_form,UT Austin,semi_target,junior,Finance,finance_econ
U100358,email_capture,University of Kansas,non_target,freshman,History,other
U101736,resume_template_form,Arizona State University,non_target,junior,Psychology,other
U100715,resume_workshop_registration,Emory University,semi_target,junior,Psychology,other
U101949,resume_template_form,San Diego State,non_target,senior,Accounting,finance_econ
U100634,resume_workshop_registration,University of Nevada,non_target,junior,Political Science,other
U100604,resume_template_form,Temple University,non_target,junior,Communications,other
U100035,email_capture,Harvard University,target,senior,Finance,finance_econ
U100991,resume_template_form,University of Virginia,semi_target,junior,Computer Science,stem
U100875,self_completed_profile,University of Chicago,target,junior,Mathematics,stem
U101232,email_capture,Emory University,semi_target,junior,Mathematics,stem
U100471,info_session_registration,San Diego State,non_target,junior,Economics,finance_econ
U101948,resume_template_form,University of Illinois,semi_target,junior,Mathematics,stem
U102004,self_completed_profile,University of Nevada,non_target,freshman,Communications,other
U101873,resume_template_form,Emory University,semi_target,freshman,Economics,finance_econ
U100032,email_capture,University of Chicago,target,senior,Computer Science,stem
U101902,resume_template_form,Harvard University,target,senior,Psychology,other
U100071,email_capture,Kent State University,non_target,senior,Accounting,finance_econ
U101246,resume_template_form,Emory University,semi_target,freshman,Economics,finance_econ
U101511,resume_workshop_registration,Temple University,non_target,freshman,Economics,finance_econ
U101790,resume_template_form,University of Virginia,semi_target,senior,Statistics,stem
U100091,resume_workshop_registration,Emory University,semi_target,freshman,History,other
U100064,self_completed_profile,Boston College,semi_target,junior,Psychology,other
U101550,info_session_registration,Ohio State University,semi_target,junior,Statistics,stem
U101885,email_capture,University of Nevada,non_target,senior,Political Science,other
U101042,resume_template_form,Emory University,semi_target,senior,Computer Science,stem
U101165,resume_template_form,New York University,target,senior,Communications,other
U100734,info_session_registration,Ohio State University,semi_target,sophomore,Communications,other
U100335,resume_workshop_registration,New York University,target,freshman,Mathematics,stem
U100724,email_capture,University of Nevada,non_target,sophomore,Accounting,finance_econ
U100596,email_capture,Emory University,semi_target,freshman,Psychology,other
U100272,resume_workshop_registration,Cornell University,target,junior,Finance,finance_econ
U100756,info_session_registration,University of Michigan,target,junior,Computer Science,stem
U100116,resume_template_form,UT Austin,semi_target,freshman,History,other
U101825,email_capture,Ohio State University,semi_target,freshman,Computer Science,stem
U101194,resume_template_form,Harvard University,target,freshman,Political Science,other
U101485,self_completed_profile,University of Chicago,target,junior,Engineering,stem
U100350,resume_template_form,Harvard University,target,freshman,Accounting,finance_econ
U101626,resume_template_form,Kent State University,non_target,senior,History,other
U101857,email_capture,Cornell University,target,senior,Computer Science,stem
U100176,resume_workshop_registration,San Diego State,non_target,junior,History,other
U101843,resume_workshop_registration,UT Austin,semi_target,freshman,Accounting,finance_econ
U101236,resume_template_form,Emory University,semi_target,senior,Communications,other
U100112,info_session_registration,University of Nevada,non_target,sophomore,Finance,finance_econ
U100995,info_session_registration,University of Pennsylvania,target,junior,Finance,finance_econ
U101230,resume_template_form,Boston College,semi_target,junior,History,other
U100778,resume_template_form,New York University,target,junior,Engineering,stem
U101866,info_session_registration,New York University,target,freshman,Finance,finance_econ
U101524,self_completed_profile,University of Michigan,target,senior,Communications,other
U101074,resume_workshop_registration,Cornell University,target,junior,Accounting,finance_econ
U101515,info_session_registration,Emory University,semi_target,senior,Finance,finance_econ
U100415,self_completed_profile,Arizona State University,non_target,freshman,Engineering,stem
U100234,resume_workshop_registration,University of Michigan,target,senior,Finance,finance_econ
U100914,resume_template_form,University of Kansas,non_target,junior,Economics,finance_econ
U100670,email_capture,University of Nevada,non_target,senior,Communications,other
U101341,info_session_registration,Cornell University,target,sophomore,Finance,finance_econ
U100298,resume_workshop_registration,University of Chicago,target,senior,Political Science,other
U101364,resume_workshop_registration,University of Nevada,non_target,senior,Finance,finance_econ
U100780,info_session_registration,Cornell University,target,freshman,Communications,other
U101443,resume_template_form,University of Pennsylvania,target,freshman,Accounting,finance_econ
U100306,resume_template_form,San Diego State,non_target,junior,Communications,other
U100657,email_capture,University of Michigan,target,junior,Accounting,finance_econ
U101279,email_capture,Ohio State University,semi_target,junior,Psychology,other
U101651,self_completed_profile,University of Virginia,semi_target,senior,Finance,finance_econ
U101888,resume_template_form,University of Kansas,non_target,sophomore,Computer Science,stem
U101630,email_capture,Temple University,non_target,junior,Communications,other
U100687,resume_template_form,University of Michigan,target,sophomore,Computer Science,stem
U101727,resume_template_form,Boston College,semi_target,senior,Psychology,other
U101199,email_capture,University of Kansas,non_target,freshman,Political Science,other
U101743,resume_template_form,University of Michigan,target,sophomore,History,other
U101429,resume_template_form,Kent State University,non_target,senior,Political Science,other
U100036,resume_workshop_registration,Emory University,semi_target,sophomore,Economics,finance_econ
U100165,resume_workshop_registration,UT Austin,semi_target,freshman,Finance,finance_econ
U100930,resume_template_form,Emory University,semi_target,senior,Communications,other
U100979,email_capture,Kent State University,non_target,sophomore,Accounting,finance_econ
U100962,email_capture,University of Chicago,target,junior,Accounting,finance_econ
U101039,email_capture,UT Austin,semi_target,sophomore,Accounting,finance_econ
U100357,email_capture,University of Kansas,non_target,junior,Computer Science,stem
U100148,info_session_registration,UT Austin,semi_target,senior,Computer Science,stem
U101986,resume_template_form,University of Illinois,semi_target,senior,Psychology,other
U100330,email_capture,UT Austin,semi_target,freshman,Communications,other
U101205,info_session_registration,UT Austin,semi_target,senior,Statistics,stem
U101782,resume_template_form,University of Kansas,non_target,junior,Mathematics,stem
U101921,email_capture,Harvard University,target,sophomore,Computer Science,stem
U101041,info_session_registration,Temple University,non_target,sophomore,Psychology,other
U100018,info_session_registration,Cornell University,target,junior,Engineering,stem
U101192,info_session_registration,University of Michigan,target,senior,Mathematics,stem
U101958,resume_template_form,Kent State University,non_target,sophomore,Engineering,stem
U100736,info_session_registration,University of Chicago,target,sophomore,Mathematics,stem
U100659,resume_template_form,Emory University,semi_target,junior,Statistics,stem
U101680,resume_workshop_registration,Ohio State University,semi_target,junior,Statistics,stem
U100458,info_session_registration,University of Virginia,semi_target,freshman,Engineering,stem
U101154,email_capture,Arizona State University,non_target,senior,Engineering,stem
U101521,resume_template_form,University of Virginia,semi_target,freshman,Engineering,stem
U101927,info_session_registration,University of Illinois,semi_target,junior,Accounting,finance_econ
U100856,resume_template_form,Boston College,semi_target,freshman,Finance,finance_econ
U101185,email_capture,University of Chicago,target,senior,Mathematics,stem
U101334,email_capture,University of Nevada,non_target,senior,Economics,finance_econ
U101495,resume_template_form,University of Pennsylvania,target,junior,Accounting,finance_econ
U100121,info_session_registration,Arizona State University,non_target,sophomore,Mathematics,stem
U100127,resume_workshop_registration,University of Illinois,semi_target,senior,Accounting,finance_econ
U101455,resume_template_form,Ohio State University,semi_target,freshman,History,other
U101616,self_completed_profile,Boston College,semi_target,senior,Economics,finance_econ
U100667,resume_template_form,University of Kansas,non_target,junior,History,other
U101833,resume_template_form,New York University,target,senior,Political Science,other
U100958,resume_template_form,University of Michigan,target,sophomore,Economics,finance_econ
U100212,resume_template_form,Temple University,non_target,senior,Psychology,other
U100179,info_session_registration,University of Illinois,semi_target,sophomore,Political Science,other
U101347,email_capture,Cornell University,target,sophomore,Communications,other
U100950,info_session_registration,University of Virginia,semi_target,senior,Economics,finance_econ
U101101,resume_template_form,University of Michigan,target,senior,Engineering,stem
U101462,email_capture,University of Michigan,target,senior,Economics,finance_econ
U100618,self_completed_profile,Cornell University,target,senior,Accounting,finance_econ
U100664,info_session_registration,San Diego State,non_target,junior,Statistics,stem
U100790,email_capture,Emory University,semi_target,freshman,Statistics,stem
U100877,resume_workshop_registration,University of Illinois,semi_target,junior,Psychology,other
U101353,info_session_registration,Temple University,non_target,freshman,Finance,finance_econ
U101048,resume_template_form,University of Michigan,target,junior,Accounting,finance_econ
U100413,resume_template_form,Harvard University,target,junior,Accounting,finance_econ
U101928,resume_workshop_registration,Ohio State University,semi_target,junior,Political Science,other
U101268,email_capture,Temple University,non_target,junior,Computer Science,stem
U100457,resume_template_form,Ohio State University,semi_target,sophomore,Economics,finance_econ
U100591,self_completed_profile,University of Nevada,non_target,junior,Political Science,other
U101807,email_capture,University of Nevada,non_target,sophomore,Computer Science,stem
U101860,resume_workshop_registration,Boston College,semi_target,sophomore,Economics,finance_econ
U101340,email_capture,University of Chicago,target,senior,Accounting,finance_econ
U101071,info_session_registration,Kent State University,non_target,senior,Computer Science,stem
U101836,resume_workshop_registration,Boston College,semi_target,freshman,Economics,finance_econ
U100767,info_session_registration,University of Illinois,semi_target,senior,Economics,finance_econ
U101849,self_completed_profile,UT Austin,semi_target,junior,History,other
U101541,resume_template_form,University of Chicago,target,junior,Psychology,other
U101748,email_capture,University of Virginia,semi_target,junior,Political Science,other
U100814,resume_template_form,Ohio State University,semi_target,senior,Finance,finance_econ
U101821,info_session_registration,Temple University,non_target,freshman,Finance,finance_econ
U101751,resume_template_form,UT Austin,semi_target,senior,Accounting,finance_econ
U100566,resume_template_form,University of Nevada,non_target,senior,Accounting,finance_econ
U100334,resume_template_form,Harvard University,target,freshman,Accounting,finance_econ
