user_id,profile_source,has_profile,university_name,school_tier,class_year,major_name,major_cat,mentor_booked,live_resume_used,resume_tool_used,course_previews,target_co_searches,logins,content_views,forum_posts,total_events,intent_events,intent_ratio,tenure_days,days_since_active,email_open_rate,email_click_rate,has_email_record,upgraded
U100221,resume_workshop_registration,1,University of Virginia,semi_target,sophomore,Communications,other,0,0,0,3,6,6,16,1,32,9,0.281,208,1,0.528,0.222,1,0
U100073,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,9,8,0,17,0,0.0,186,19,0.136,0.067,1,0
U101508,email_capture,1,Boston College,semi_target,freshman,Psychology,other,0,1,0,4,5,11,14,1,36,10,0.278,200,1,0.652,0.369,1,0
U100537,resume_template_form,1,Harvard University,target,sophomore,Accounting,finance_econ,1,0,0,1,3,9,23,3,40,5,0.125,205,0,0.572,0.246,1,1
U101709,self_completed_profile,1,University of Pennsylvania,target,sophomore,Computer Science,stem,0,0,1,5,5,6,5,0,22,11,0.5,194,3,0.506,0.255,1,0
U101502,resume_template_form,1,University of Pennsylvania,target,junior,Computer Science,stem,0,0,1,2,5,7,8,0,23,8,0.348,192,15,0.682,0.35,1,0
U101898,email_capture,1,Arizona State University,non_target,senior,Psychology,other,0,0,0,0,0,3,14,0,17,0,0.0,193,15,0.302,0.156,1,0
U100151,resume_workshop_registration,1,Cornell University,target,junior,Political Science,other,0,0,0,0,0,5,10,1,16,0,0.0,182,13,0.274,0.131,1,0
U100397,email_capture,1,University of Michigan,target,freshman,History,other,1,0,1,1,3,7,11,0,24,6,0.25,198,10,0.452,0.182,1,1
U101028,resume_template_form,1,University of Pennsylvania,target,senior,Communications,other,0,1,0,0,1,8,18,3,31,2,0.065,193,2,0.49,0.237,1,0
U101886,email_capture,1,University of Nevada,non_target,junior,Mathematics,stem,0,0,0,0,1,5,5,0,11,1,0.091,170,20,0.421,0.229,1,0
U100216,info_session_registration,1,Emory University,semi_target,junior,History,other,0,1,0,0,0,9,17,3,30,1,0.033,207,1,0.425,0.15,1,0
U100336,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,8,4,0,12,0,0.0,167,9,0.202,0.117,1,0
U100188,resume_workshop_registration,1,University of Illinois,semi_target,sophomore,Accounting,finance_econ,1,0,0,2,3,5,9,0,20,6,0.3,184,10,0.529,0.222,1,0
U100499,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,1,0,0,0,8,14,1,24,1,0.042,200,5,0.389,0.183,1,0
U101611,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,2,1,0,3,0,0.0,74,28,0.485,0.192,1,0
U101371,resume_template_form,1,University of Pennsylvania,target,junior,Engineering,stem,1,1,0,6,7,9,7,2,33,15,0.455,195,13,0.623,0.341,1,1
U101153,info_session_registration,1,Temple University,non_target,freshman,Computer Science,stem,0,0,1,6,3,9,21,1,41,10,0.244,201,1,0.596,0.327,1,0
U101710,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,1,4,0,5,0,0.0,204,3,0.331,0.136,1,0
U100508,resume_template_form,1,Harvard University,target,senior,Economics,finance_econ,1,0,1,3,8,6,20,1,40,13,0.325,180,29,0.621,0.347,1,0
U100279,info_session_registration,1,Ohio State University,semi_target,senior,Engineering,stem,0,0,0,0,0,13,5,4,22,0,0.0,194,9,0.455,0.245,1,0
U101041,info_session_registration,1,Temple University,non_target,sophomore,Psychology,other,1,0,0,6,7,9,10,0,33,14,0.424,202,2,0.731,0.432,1,1
U100801,resume_workshop_registration,1,Emory University,semi_target,senior,Engineering,stem,0,1,1,0,0,14,14,3,33,2,0.061,196,2,0.562,0.215,1,0
U100702,info_session_registration,1,University of Michigan,target,sophomore,Engineering,stem,1,0,1,0,3,12,14,3,34,5,0.147,207,0,0.693,0.346,1,1
U100265,email_capture,1,University of Kansas,non_target,sophomore,History,other,1,0,1,1,0,12,15,3,33,3,0.091,197,0,0.323,0.145,1,0
U101399,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,1,0,4,4,5,11,0,25,9,0.36,201,7,0.585,0.295,1,0
U100834,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,8,16,3,27,0,0.0,203,5,0.277,0.116,1,0
U101426,resume_workshop_registration,1,UT Austin,semi_target,senior,Statistics,stem,1,0,0,3,4,2,6,0,16,8,0.5,198,7,0.419,0.174,1,0
U100038,unknown,0,(not provided),unknown,unknown,(not provided),unknown,1,0,0,0,1,3,7,0,12,2,0.167,185,1,0.362,0.158,1,0
U101535,resume_template_form,1,San Diego State,non_target,junior,Communications,other,0,0,0,1,2,7,8,0,18,3,0.167,190,17,0.653,0.286,1,0
U101193,self_completed_profile,1,University of Michigan,target,junior,Statistics,stem,0,0,0,2,2,14,10,2,30,4,0.133,207,0,0.64,0.303,1,0
U100501,resume_workshop_registration,1,Temple University,non_target,senior,Mathematics,stem,1,1,0,2,4,6,22,2,38,8,0.211,200,0,0.633,0.359,1,0
U100060,resume_template_form,1,University of Illinois,semi_target,freshman,Engineering,stem,0,0,0,0,1,13,17,7,38,1,0.026,206,0,0.776,0.346,1,0
U101812,resume_template_form,1,University of Kansas,non_target,sophomore,Mathematics,stem,0,0,1,0,2,13,13,2,31,3,0.097,195,2,0.511,0.269,1,0
U100694,info_session_registration,1,Ohio State University,semi_target,junior,Political Science,other,0,0,0,0,1,9,13,2,25,1,0.04,205,3,0.0,0.0,0,0
U100828,self_completed_profile,1,New York University,target,junior,Computer Science,stem,0,1,0,1,5,13,22,5,47,7,0.149,206,1,0.546,0.291,1,0
U102006,resume_workshop_registration,1,University of Virginia,semi_target,junior,History,other,1,0,1,4,7,8,18,4,43,13,0.302,201,8,0.875,0.378,1,1
U101605,resume_template_form,1,University of Pennsylvania,target,sophomore,Economics,finance_econ,0,0,0,0,0,3,3,0,6,0,0.0,183,14,0.252,0.099,1,0
U101117,resume_workshop_registration,1,UT Austin,semi_target,junior,Economics,finance_econ,1,0,1,3,6,9,13,0,33,11,0.333,206,2,0.794,0.333,1,0
U100127,resume_workshop_registration,1,University of Illinois,semi_target,senior,Accounting,finance_econ,1,0,0,2,1,1,3,0,8,4,0.5,161,26,0.466,0.253,1,0
U100366,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,1,4,2,8,0,15,5,0.333,184,3,0.369,0.201,1,0
U100635,info_session_registration,1,Ohio State University,semi_target,junior,Communications,other,1,1,1,4,9,9,13,4,42,16,0.381,202,0,0.797,0.381,1,1
U100785,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,12,16,3,31,0,0.0,202,2,0.575,0.218,1,0
U100472,self_completed_profile,1,University of Chicago,target,sophomore,Economics,finance_econ,1,0,0,1,0,17,29,4,52,2,0.038,201,7,0.708,0.348,1,0
U101406,email_capture,1,Boston College,semi_target,senior,Computer Science,stem,0,0,1,0,1,6,5,0,13,2,0.154,175,34,0.399,0.182,1,0
U100239,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,2,1,7,19,1,30,3,0.1,188,1,0.59,0.297,1,0
U100135,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,1,4,3,7,13,2,30,8,0.267,205,1,0.456,0.22,1,0
U100433,info_session_registration,1,University of Nevada,non_target,junior,Statistics,stem,1,0,0,0,0,13,20,1,35,1,0.029,203,4,0.545,0.214,1,0
U101596,info_session_registration,1,Kent State University,non_target,freshman,Statistics,stem,1,1,0,1,6,8,22,2,41,9,0.22,194,6,0.518,0.302,1,0
U100080,resume_template_form,1,Cornell University,target,junior,Economics,finance_econ,1,0,0,1,5,9,12,1,29,7,0.241,190,1,0.719,0.366,1,1
U101276,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,1,0,1,1,5,15,2,25,3,0.12,199,4,0.567,0.229,1,0
U100203,self_completed_profile,1,Temple University,non_target,sophomore,Computer Science,stem,0,1,1,0,1,6,3,0,12,3,0.25,167,17,0.434,0.178,1,1
U101880,resume_template_form,1,Emory University,semi_target,junior,Engineering,stem,0,0,1,0,1,6,11,3,22,2,0.091,205,0,0.483,0.241,1,0
U100673,info_session_registration,1,University of Illinois,semi_target,senior,Mathematics,stem,1,1,1,2,6,4,12,6,33,11,0.333,180,9,0.686,0.391,1,1
U100952,unknown,0,(not provided),unknown,unknown,(not provided),unknown,1,0,0,3,0,10,14,0,28,4,0.143,209,0,0.404,0.205,1,0
U100687,resume_template_form,1,University of Michigan,target,sophomore,Computer Science,stem,1,1,1,7,13,10,24,2,59,23,0.39,206,2,0.776,0.446,1,1
U101318,resume_workshop_registration,1,Ohio State University,semi_target,sophomore,Accounting,finance_econ,1,0,0,4,6,10,7,2,30,11,0.367,188,17,0.627,0.305,1,0
U101204,info_session_registration,1,UT Austin,semi_target,junior,Mathematics,stem,0,0,1,4,2,13,13,2,35,7,0.2,201,4,0.0,0.0,0,0
U101541,resume_template_form,1,University of Chicago,target,junior,Psychology,other,0,1,1,5,3,12,12,0,34,10,0.294,202,0,0.548,0.262,1,0
U100735,resume_template_form,1,University of Virginia,semi_target,junior,Finance,finance_econ,0,0,1,3,3,8,6,0,21,7,0.333,194,7,0.418,0.165,1,1
U101970,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,1,0,7,9,0,17,1,0.059,207,0,0.0,0.0,0,0
U100272,resume_workshop_registration,1,Cornell University,target,junior,Finance,finance_econ,0,0,1,3,3,6,7,1,21,7,0.333,194,0,0.521,0.311,1,0
U100610,unknown,0,(not provided),unknown,unknown,(not provided),unknown,1,0,0,1,1,7,16,1,27,3,0.111,196,9,0.569,0.307,1,0
U101778,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,1,0,0,0,8,9,0,18,1,0.056,186,8,0.182,0.088,1,0
U101745,resume_template_form,1,Arizona State University,non_target,sophomore,Accounting,finance_econ,0,0,0,0,0,3,10,0,13,0,0.0,168,0,0.444,0.183,1,0
U101267,email_capture,1,Cornell University,target,junior,History,other,1,0,1,2,4,11,19,1,39,8,0.205,208,1,0.732,0.329,1,1
U100349,info_session_registration,1,Temple University,non_target,junior,Statistics,stem,0,0,0,0,0,14,28,3,45,0,0.0,200,8,0.346,0.125,1,0
U100152,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,1,2,9,10,0,22,3,0.136,208,1,0.332,0.116,1,0
U101589,resume_workshop_registration,1,Emory University,semi_target,junior,Mathematics,stem,0,1,1,6,4,9,14,1,36,12,0.333,189,5,0.639,0.248,1,0
U101283,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,4,3,0,7,0,0.0,123,19,0.389,0.212,1,0
U100820,resume_template_form,1,Emory University,semi_target,senior,History,other,1,0,1,2,5,7,16,1,33,9,0.273,204,1,0.755,0.376,1,0
U101775,info_session_registration,1,University of Virginia,semi_target,junior,Communications,other,0,0,0,0,0,5,26,2,33,0,0.0,174,5,0.498,0.259,1,0
U100329,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,1,4,7,10,0,22,5,0.227,193,1,0.437,0.254,1,0
U100751,info_session_registration,1,New York University,target,junior,Finance,finance_econ,1,0,1,2,6,15,23,3,51,10,0.196,198,4,0.588,0.336,1,1
U101957,email_capture,1,University of Virginia,semi_target,junior,History,other,0,0,0,0,0,2,5,0,7,0,0.0,156,28,0.246,0.12,1,0
U101721,resume_template_form,1,Cornell University,target,junior,Political Science,other,1,0,1,6,3,14,22,1,48,11,0.229,199,10,0.688,0.332,1,1
U100862,unknown,0,(not provided),unknown,unknown,(not provided),unknown,1,0,1,1,0,2,6,0,11,3,0.273,191,4,0.34,0.137,1,0
U100921,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,9,16,1,26,0,0.0,184,24,0.43,0.162,1,0
U100325,resume_template_form,1,Cornell University,target,sophomore,Engineering,stem,1,1,1,3,4,8,15,3,36,10,0.278,205,2,0.636,0.324,1,0
U100798,resume_template_form,1,Kent State University,non_target,junior,Political Science,other,1,0,0,5,4,3,1,0,14,10,0.714,204,1,0.514,0.251,1,0
U101031,resume_workshop_registration,1,Boston College,semi_target,sophomore,Political Science,other,1,0,0,1,0,11,20,4,37,2,0.054,186,18,0.439,0.22,1,0
U100093,resume_template_form,1,University of Michigan,target,junior,Economics,finance_econ,1,0,1,4,1,4,20,3,34,7,0.206,208,0,0.706,0.352,1,0
U100906,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,1,1,0,2,0,0.0,83,115,0.141,0.075,1,0
U101934,email_capture,1,New York University,target,freshman,Statistics,stem,1,1,1,6,5,5,11,0,30,14,0.467,197,10,0.559,0.242,1,1
U100271,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,8,6,1,15,0,0.0,169,35,0.232,0.095,1,0
U100413,resume_template_form,1,Harvard University,target,junior,Accounting,finance_econ,0,0,0,1,0,8,13,0,22,1,0.045,189,16,0.389,0.199,1,0
U100971,email_capture,1,Harvard University,target,sophomore,Accounting,finance_econ,1,1,1,5,6,11,19,6,50,14,0.28,202,5,0.856,0.408,1,1
U100012,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,2,7,15,21,3,48,9,0.188,194,1,0.672,0.263,1,0
U102008,info_session_registration,1,Ohio State University,semi_target,junior,Engineering,stem,0,0,0,6,4,4,6,0,20,10,0.5,200,4,0.443,0.162,1,0
U100304,resume_template_form,1,New York University,target,senior,Accounting,finance_econ,0,0,1,2,2,9,16,2,32,5,0.156,200,0,0.579,0.232,1,0
U100997,resume_workshop_registration,1,Arizona State University,non_target,junior,Finance,finance_econ,0,0,0,0,0,13,19,2,34,0,0.0,197,3,0.3,0.123,1,0
U101786,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,6,11,0,17,0,0.0,197,2,0.262,0.118,1,0
U101847,email_capture,1,University of Chicago,target,senior,Accounting,finance_econ,1,0,1,4,3,10,23,2,44,9,0.205,199,7,0.0,0.0,0,1
U100503,info_session_registration,1,San Diego State,non_target,junior,Accounting,finance_econ,1,0,0,1,8,4,20,0,34,10,0.294,197,0,0.731,0.385,1,0
U100317,unknown,0,(not provided),unknown,unknown,(not provided),unknown,1,1,0,3,6,5,8,0,24,11,0.458,194,10,0.553,0.205,1,1
U100716,info_session_registration,1,San Diego State,non_target,sophomore,Communications,other,0,0,1,4,6,6,11,0,28,11,0.393,186,12,0.63,0.279,1,0
U101042,resume_template_form,1,Emory University,semi_target,senior,Computer Science,stem,1,0,1,0,2,5,4,0,13,4,0.308,158,37,0.278,0.143,1,0
U101227,resume_template_form,1,Kent State University,non_target,senior,Computer Science,stem,0,1,0,4,1,13,11,3,33,6,0.182,190,5,0.587,0.335,1,0
U101358,info_session_registration,1,Boston College,semi_target,sophomore,Accounting,finance_econ,1,0,1,3,3,9,20,2,39,8,0.205,206,0,0.627,0.305,1,0
U101424,resume_template_form,1,Kent State University,non_target,senior,Engineering,stem,0,0,0,0,0,15,19,3,37,0,0.0,198,6,0.544,0.276,1,0
U101833,resume_template_form,1,New York University,target,senior,Political Science,other,0,0,0,1,0,9,19,1,30,1,0.033,197,8,0.621,0.319,1,0
U100540,unknown,0,(not provided),unknown,unknown,(not provided),unknown,1,0,1,3,2,4,17,2,30,7,0.233,204,1,0.445,0.233,1,0
U101303,self_completed_profile,1,University of Pennsylvania,target,senior,Economics,finance_econ,0,0,1,2,2,3,11,0,19,5,0.263,161,12,0.669,0.35,1,0
U100993,resume_workshop_registration,1,University of Virginia,semi_target,senior,Psychology,other,0,1,0,4,5,11,14,0,35,10,0.286,203,2,0.579,0.251,1,0
U100701,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,1,0,0,11,9,0,21,1,0.048,189,10,0.472,0.21,1,0
U100319,resume_workshop_registration,1,Temple University,non_target,sophomore,Communications,other,0,1,0,4,2,14,18,3,42,7,0.167,199,8,0.696,0.363,1,0
U101860,resume_workshop_registration,1,Boston College,semi_target,sophomore,Economics,finance_econ,1,0,0,0,1,10,14,0,26,2,0.077,195,4,0.397,0.183,1,1
U101238,resume_workshop_registration,1,Emory University,semi_target,sophomore,History,other,1,1,0,6,4,6,11,2,31,12,0.387,202,2,0.788,0.332,1,0
U100942,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,1,1,0,2,8,5,0,17,4,0.235,204,0,0.401,0.166,1,0
U101107,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,6,5,0,11,0,0.0,195,9,0.303,0.155,1,0
U101828,info_session_registration,1,Arizona State University,non_target,junior,Mathematics,stem,0,0,1,4,4,23,26,1,59,9,0.153,190,10,0.836,0.353,1,1
U100036,resume_workshop_registration,1,Emory University,semi_target,sophomore,Economics,finance_econ,1,0,0,1,4,8,9,0,23,6,0.261,191,6,0.535,0.301,1,0
U100217,self_completed_profile,1,UT Austin,semi_target,junior,Economics,finance_econ,0,0,1,4,7,7,10,0,29,12,0.414,194,14,0.597,0.223,1,0
U100002,resume_template_form,1,University of Chicago,target,senior,Economics,finance_econ,0,0,1,2,3,4,8,0,18,6,0.333,205,2,0.469,0.192,1,0
U100348,info_session_registration,1,UT Austin,semi_target,sophomore,Computer Science,stem,0,0,0,0,0,5,6,0,11,0,0.0,188,14,0.265,0.11,1,0
U101552,info_session_registration,1,University of Michigan,target,sophomore,Finance,finance_econ,1,0,1,6,2,12,13,1,36,10,0.278,198,4,0.77,0.418,1,1
U100709,email_capture,1,Boston College,semi_target,freshman,Political Science,other,0,1,0,1,3,13,16,2,36,5,0.139,191,11,0.607,0.255,1,0
U101142,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,7,4,0,11,0,0.0,189,4,0.289,0.124,1,0
U100908,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,4,1,8,17,0,30,5,0.167,190,4,0.682,0.367,1,1
U100442,resume_workshop_registration,1,Boston College,semi_target,junior,Finance,finance_econ,0,0,0,7,3,7,13,0,30,10,0.333,203,4,0.731,0.421,1,1
U101416,resume_workshop_registration,1,Boston College,semi_target,senior,Accounting,finance_econ,0,0,1,2,6,3,6,1,19,9,0.474,201,3,0.626,0.342,1,0
U100726,resume_template_form,1,Emory University,semi_target,junior,History,other,0,0,0,2,1,8,12,1,24,3,0.125,198,5,0.522,0.281,1,0
U101480,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,5,13,0,18,0,0.0,205,3,0.0,0.0,0,0
U101205,info_session_registration,1,UT Austin,semi_target,senior,Statistics,stem,0,0,0,0,0,5,8,0,13,0,0.0,191,13,0.327,0.193,1,0
U101211,email_capture,1,Emory University,semi_target,freshman,Engineering,stem,1,1,0,1,3,11,20,1,38,6,0.158,199,6,0.664,0.274,1,0
U100618,self_completed_profile,1,Cornell University,target,senior,Accounting,finance_econ,1,1,1,1,1,17,19,1,42,5,0.119,207,0,0.545,0.265,1,1
U100214,resume_template_form,1,University of Illinois,semi_target,freshman,Engineering,stem,0,1,1,2,2,12,22,1,41,6,0.146,200,4,0.883,0.364,1,0
U101856,resume_template_form,1,University of Kansas,non_target,sophomore,Political Science,other,0,0,0,2,3,5,11,1,22,5,0.227,186,18,0.411,0.193,1,0
U101505,resume_workshop_registration,1,Arizona State University,non_target,junior,Computer Science,stem,0,0,0,0,0,11,9,2,22,0,0.0,186,6,0.51,0.292,1,0
U101621,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,4,1,0,5,0,0.0,188,10,0.207,0.082,1,0
U100641,resume_template_form,1,UT Austin,semi_target,sophomore,Psychology,other,0,0,1,4,4,9,12,0,30,9,0.3,181,9,0.709,0.303,1,0
U101914,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,5,1,0,6,0,0.0,70,137,0.148,0.084,1,0
U100613,resume_template_form,1,University of Virginia,semi_target,sophomore,Finance,finance_econ,1,0,0,1,1,9,11,0,23,3,0.13,208,1,0.433,0.17,1,0
U100897,email_capture,1,University of Pennsylvania,target,junior,Political Science,other,0,0,0,0,0,9,7,1,17,0,0.0,205,4,0.375,0.205,1,0
U100609,resume_workshop_registration,1,University of Illinois,semi_target,junior,Economics,finance_econ,0,1,1,12,7,6,1,0,28,21,0.75,187,16,0.566,0.203,1,1
U100911,email_capture,1,Kent State University,non_target,junior,Political Science,other,0,0,0,0,2,6,10,0,18,2,0.111,197,0,0.366,0.152,1,0
U100551,resume_template_form,1,University of Chicago,target,sophomore,Accounting,finance_econ,1,0,1,5,1,12,21,1,42,8,0.19,186,8,0.511,0.298,1,0
U101846,resume_template_form,1,University of Michigan,target,junior,Political Science,other,1,1,1,5,7,7,15,1,38,15,0.395,197,4,0.802,0.406,1,1
U101681,info_session_registration,1,Ohio State University,semi_target,senior,Finance,finance_econ,0,1,0,4,6,13,28,8,60,11,0.183,199,5,0.536,0.229,1,1
U101150,email_capture,1,New York University,target,junior,Accounting,finance_econ,1,1,0,8,10,4,9,5,38,20,0.526,197,2,0.634,0.302,1,1
U101336,info_session_registration,1,Harvard University,target,junior,Communications,other,1,0,0,1,2,11,12,1,28,4,0.143,195,5,0.504,0.224,1,0
U101981,unknown,0,(not provided),unknown,unknown,(not provided),unknown,1,1,0,1,1,7,18,1,30,4,0.133,201,1,0.466,0.195,1,0
