user_id,upgraded,propensity
U100401,1,0.8256
U101698,0,0.8243
U100559,1,0.8211
U101589,0,0.8195
U101358,0,0.8185
U100508,0,0.8182
U100290,0,0.818
U100325,0,0.8172
U101668,0,0.8172
U100795,1,0.8164
U100991,0,0.8159
U101147,0,0.8156
U100870,0,0.8151
U101323,1,0.8146
U100207,0,0.8144
U100013,0,0.8143
U102006,1,0.8131
U101096,1,0.8122
U101866,1,0.811
U101593,0,0.8104
U100950,0,0.8089
U101988,1,0.8087
U100231,0,0.8082
U101222,0,0.8077
U101238,0,0.8064
U100122,0,0.8047
U100024,1,0.8045
U100750,0,0.8042
U101164,0,0.804
U101324,0,0.8039
U100289,0,0.8039
U100580,0,0.8033
U100334,0,0.8031
U101079,0,0.8028
U101847,1,0.802
U101586,0,0.8015
U100643,0,0.8004
U101087,1,0.8001
U101259,1,0.7994
U101640,0,0.7979
U101288,0,0.7972
U100672,0,0.7965
U101676,1,0.796
U101539,1,0.7956
U101928,0,0.7944
U100479,1,0.7941
U100951,0,0.7941
U100453,0,0.7912
U100443,0,0.7909
U101849,1,0.7909
U100131,1,0.7907
U101390,0,0.7907
U101840,1,0.7904
U100915,1,0.7886
U100844,0,0.7885
U100229,0,0.7874
U101610,0,0.7867
U100426,1,0.7865
U101699,0,0.7859
U101543,1,0.7857
U100843,0,0.7854
U101584,0,0.7844
U101228,0,0.7826
U101005,1,0.7815
U101192,1,0.7808
U101978,1,0.7795
U101963,0,0.7764
U100660,1,0.7755
U100889,0,0.7747
U101908,1,0.7746
U101982,1,0.7743
U100570,0,0.7742
U100887,0,0.7722
U101267,1,0.7692
U101092,1,0.7677
U100884,1,0.7676
U101726,0,0.7658
U100746,0,0.7653
U101318,0,0.7645
U100532,1,0.7644
U100093,0,0.7606
U101289,0,0.7605
U101828,1,0.7603
U100953,1,0.76
U101013,1,0.7599
U101927,0,0.7597
U100383,1,0.7589
U100925,0,0.7562
U100437,0,0.7553
U100217,0,0.7549
U101404,1,0.7539
U101798,0,0.7538
U100541,0,0.7533
U100100,0,0.7529
U100356,1,0.7497
U100736,0,0.747
U101832,0,0.7467
U101720,0,0.7466
U100624,0,0.7436
U100080,1,0.7422
U101264,0,0.7421
U101100,0,0.742
U101172,0,0.7412
U101221,1,0.7386
U101328,0,0.7382
U101157,0,0.736
U101347,0,0.7359
U101733,0,0.7358
U101627,0,0.7356
U101282,0,0.7356
U101181,0,0.7334
U101501,1,0.7331
U100076,0,0.7329
U100256,0,0.7327
U101247,0,0.7296
U101149,1,0.7294
U100702,1,0.7293
U101357,0,0.7277
U100583,0,0.7276
U100163,0,0.7268
U101961,0,0.7253
U101304,0,0.7235
U100673,1,0.7212
U101034,1,0.7211
U101384,0,0.7199
U100086,0,0.7195
U101041,1,0.7177
U100715,0,0.7157
U101651,0,0.7149
U101050,0,0.7135
U100873,0,0.7128
U100211,1,0.7121
U101556,1,0.7102
U100341,0,0.7098
U100079,0,0.709
U100676,0,0.7076
U100688,1,0.7063
U101336,0,0.7061
U101381,0,0.7056
U100471,0,0.7041
U100215,0,0.7036
U100462,0,0.702
U101565,0,0.7012
U101670,0,0.7012
U101038,0,0.6994
U101215,1,0.6992
U101158,0,0.6991
U101524,0,0.6981
U100625,0,0.6963
U100546,0,0.6961
U100561,0,0.6955
U100465,0,0.6953
U101645,1,0.694
U101180,1,0.6931
U101386,0,0.6931
U101367,0,0.6928
U100811,0,0.6918
U100539,0,0.69
U100823,0,0.6892
U101016,0,0.6881
U101870,1,0.6878
U101649,1,0.6878
U101562,1,0.6864
U100882,1,0.6851
U100035,0,0.6845
U100662,0,0.6839
U101454,0,0.6838
U101538,0,0.6826
U100311,0,0.6815
U101379,0,0.6807
U101269,0,0.6792
U100272,0,0.6772
U100575,1,0.677
U100966,1,0.6768
U100021,0,0.6767
U100993,0,0.6767
U101010,0,0.6764
U101785,0,0.6752
U101681,1,0.6739
U101569,0,0.6717
U100018,0,0.6713
U100617,0,0.6712
U100195,0,0.6708
U100820,0,0.6685
U101743,0,0.6678
U101260,0,0.6656
U101446,0,0.6653
U100503,0,0.6644
U100472,0,0.661
U101771,0,0.6601
U100354,0,0.659
U101525,0,0.6584
U101709,0,0.6581
U101636,0,0.657
U101687,1,0.6567
U101011,0,0.6565
U100260,1,0.6564
U100335,0,0.6561
U100898,0,0.6557
U100367,0,0.654
U101580,1,0.6523
U101098,0,0.6488
U100691,0,0.648
U100317,1,0.6464
U100943,0,0.6455
U100683,0,0.6454
U100734,1,0.6454
U101925,0,0.6415
U100188,0,0.6413
U100731,0,0.6404
U100390,0,0.6402
U101306,0,0.6388
U101550,0,0.6378
U100369,0,0.6368
U100473,0,0.6366
U101462,0,0.6361
U100036,0,0.636
U101841,0,0.6359
U100029,0,0.635
U100108,0,0.6348
U101578,0,0.6347
U101843,0,0.6338
U100106,0,0.633
U100257,0,0.6321
U100933,0,0.6315
U101715,0,0.6313
U101040,0,0.6311
U100301,0,0.6309
U100721,0,0.6308
U100175,0,0.6296
U100092,1,0.6284
U100812,0,0.6277
U100964,0,0.6264
U100537,1,0.6251
U101459,0,0.625
U100988,0,0.6247
U101081,1,0.6237
U100346,0,0.6232
U101262,0,0.6229
U100457,0,0.6213
U101751,0,0.6204
U100904,0,0.6196
U100143,0,0.6167
U101529,0,0.6161
U100123,1,0.6156
U101795,0,0.6153
U100735,1,0.6153
U101246,1,0.6146
U100866,0,0.6138
U101376,0,0.6119
U101139,0,0.6118
U100586,1,0.6114
U100878,0,0.6105
U100192,0,0.6099
U101570,0,0.6092
U101322,0,0.6086
U101271,0,0.6085
U100304,0,0.6085
U101175,0,0.6083
U101255,0,0.6074
U100566,1,0.6066
U100267,1,0.6065
U100927,0,0.6063
U101940,0,0.6052
U100778,1,0.605
U100599,0,0.6035
U101991,0,0.6024
U101520,1,0.6019
U101123,0,0.6019
U101860,1,0.6012
U101101,0,0.6005
U100094,0,0.5999
U100412,0,0.5981
U101167,0,0.5962
U101203,0,0.5956
U100468,0,0.5941
U100010,0,0.5941
U100822,0,0.5927
U100206,0,0.5901
U100168,0,0.5896
U101730,0,0.5888
U100411,0,0.5884
U101453,0,0.5882
U100957,0,0.5879
U100323,1,0.5879
U100179,1,0.5877
U101983,0,0.5873
U101742,0,0.5865
U100996,0,0.5864
U100757,0,0.586
U101389,1,0.5849
U100826,0,0.5844
U100002,0,0.5823
U100939,0,0.5812
U100205,0,0.5812
U100642,0,0.5812
U100728,0,0.5808
U100998,0,0.5804
U100550,0,0.5796
U101804,0,0.5763
U101127,0,0.5762
U101426,0,0.5741
U101739,0,0.574
U100397,1,0.5737
U101094,0,0.5734
U101869,1,0.5734
U101953,1,0.5731
U100501,0,0.5717
U100141,1,0.571
U101826,0,0.5701
U100613,0,0.5694
U101573,0,0.568
U101281,0,0.568
U100049,0,0.5678
U100442,1,0.5677
U100251,0,0.5671
U100919,0,0.5663
U100585,0,0.566
U101443,0,0.5626
U101204,0,0.5623
U101803,1,0.5601
U100485,1,0.5601
U100180,0,0.5597
U101946,0,0.5588
U100801,0,0.5584
U100232,0,0.558
U100891,0,0.5574
U100573,0,0.5566
U101588,0,0.5543
U100385,0,0.554
U101076,0,0.5535
U101474,0,0.5524
U100798,0,0.5501
U100166,0,0.5499
U100890,0,0.5499
U101603,0,0.5492
U100197,0,0.5485
U101134,0,0.5478
U101021,0,0.5476
U100384,0,0.5467
U101660,0,0.5454
U101334,1,0.544
U101230,0,0.5429
U101665,0,0.54
U101678,0,0.5396
U100704,0,0.5392
U100756,0,0.5386
U101362,0,0.5368
U101416,0,0.5366
U100836,0,0.5355
U100881,1,0.5332
U101596,0,0.5328
U100090,0,0.5326
U100535,0,0.5326
U101618,1,0.5305
U100386,0,0.53
U101128,0,0.5295
U100916,1,0.5282
U100563,0,0.5277
U101656,0,0.5269
U100740,0,0.5265
U101303,0,0.526
U101526,0,0.5258
U100851,1,0.5257
U100969,1,0.5248
U101083,0,0.5242
U101902,1,0.5238
U101138,0,0.5222
U100077,0,0.5209
U100567,0,0.5205
U100960,1,0.52
U100828,0,0.5188
U100838,0,0.5169
U100140,0,0.5164
U101616,0,0.5144
U101685,0,0.5131
U101064,1,0.5128
U100963,0,0.5094
U102008,0,0.5093
U100512,0,0.5088
U101063,1,0.5078
U101211,0,0.5057
U100051,0,0.5057
U101423,0,0.5045
U101054,0,0.5042
U101237,1,0.5041
U101196,0,0.5036
U101256,0,0.5017
U101663,0,0.5014
U100414,0,0.5012
U100187,0,0.5007
U101599,0,0.5007
U100557,0,0.5002
U101152,0,0.4997
U100237,0,0.4997
U101321,0,0.4988
U101240,0,0.4969
U100716,0,0.4955
U101941,0,0.4954
U100408,0,0.4953
U100641,0,0.4952
U101872,1,0.4949
U100285,0,0.4945
U101278,0,0.4942
U100634,0,0.4942
U101564,0,0.4938
U100685,0,0.492
U100684,1,0.4914
U101997,0,0.4914
U100081,0,0.4912
U100910,1,0.491
U101837,0,0.491
U100176,0,0.4902
U100178,0,0.4883
U100096,0,0.4881
U100860,0,0.4877
U101047,0,0.4875
U100864,0,0.487
U101669,0,0.4867
U100156,1,0.4859
U101752,0,0.4856
U100368,0,0.4852
U101513,0,0.485
U100433,0,0.4845
U101341,0,0.4829
U100214,0,0.4818
U101655,0,0.4807
U101065,0,0.4782
U101212,0,0.4775
U100818,1,0.4762
U101502,0,0.473
U100630,0,0.472
U101450,1,0.4717
U100127,0,0.4716
U101314,0,0.4709
U101507,0,0.4689
U100482,0,0.468
U101061,0,0.4679
U100707,0,0.4668
U100737,0,0.464
U100530,0,0.463
U100714,0,0.4623
U100014,0,0.4603
U100089,0,0.4594
U101335,1,0.4594
U101761,0,0.4593
U101571,0,0.457
U100666,0,0.4568
U101039,0,0.4567
U100148,0,0.4565
U101155,1,0.4563
U101516,0,0.4552
U101590,0,0.4539
U101809,0,0.4534
U100664,0,0.4518
U100370,1,0.4515
U100880,0,0.4513
U101395,0,0.4509
U101521,0,0.4507
U101193,0,0.4506
U100770,0,0.4505
U100832,1,0.4503
U101168,0,0.4487
U100023,0,0.4487
U100556,0,0.4483
U100103,0,0.4481
U100157,0,0.448
U101958,0,0.4479
U100576,0,0.4477
U101921,0,0.4477
U100540,0,0.4477
U101981,0,0.4454
U101074,0,0.4451
U101263,0,0.4444
U101431,0,0.4435
U101153,0,0.4433
U100054,0,0.4432
U100242,0,0.4427
U101287,1,0.4427
U100675,0,0.4405
U100875,0,0.439
U100262,0,0.4354
U100493,0,0.4345
U101972,0,0.4343
U101058,0,0.4336
U100190,0,0.4334
U100265,0,0.4327
U100031,0,0.4319
U101563,0,0.4317
U100118,0,0.4314
U100382,0,0.4312
U101510,0,0.4309
U101638,0,0.4299
U101148,1,0.4298
U101727,1,0.4298
U101452,0,0.4288
U101781,0,0.4285
U101734,0,0.428
U100407,0,0.4275
U100999,0,0.4251
U100774,0,0.4244
U100333,1,0.4239
U101042,0,0.4224
U101919,0,0.4212
U100009,0,0.4203
U101078,0,0.4197
U100448,0,0.4197
U100053,0,0.4191
U100772,0,0.4183
U100202,0,0.4171
U101989,0,0.4161
U100815,0,0.4155
U100806,0,0.4146
U101102,0,0.4145
U101634,0,0.4128
U101022,0,0.4115
U101838,0,0.4114
U100037,0,0.4114
U101712,0,0.4112
U100994,0,0.41
U101429,0,0.4096
U100837,0,0.4091
U100669,0,0.409
U100978,0,0.4084
U101124,0,0.4079
U101716,0,0.4071
U100658,0,0.4066
U100982,0,0.4052
U101046,0,0.4044
U100952,0,0.4032
U101614,0,0.403
U101731,0,0.4023
U100218,0,0.4022
U100682,0,0.3998
U100137,0,0.3985
U100423,0,0.3983
U101082,0,0.3977
U100319,0,0.3974
U100645,0,0.3974
U101171,0,0.3966
U100790,0,0.3963
U101119,0,0.3955
U101935,0,0.3952
U100718,0,0.3948
U100343,0,0.3943
U100888,0,0.3932
U100686,0,0.3919
U100877,0,0.3912
U101068,0,0.3908
U100699,0,0.3905
U100204,0,0.3902
U100600,0,0.3898
U101666,0,0.3893
U101257,0,0.3892
U100976,0,0.3875
U100209,0,0.3867
U101544,0,0.3867
U101219,0,0.3848
U101796,0,0.3848
U100577,0,0.384
U101693,0,0.3839
U100208,0,0.3836
U101986,0,0.3831
U101069,0,0.3829
U100825,0,0.3828
U100162,1,0.3827
U101316,0,0.3819
U100033,0,0.3817
U101879,0,0.3795
U100406,1,0.3789
U100862,0,0.3782
U100593,0,0.3781
U101629,0,0.3774
U101865,0,0.3763
U101725,0,0.3752
U100942,0,0.3749
U100057,0,0.3745
U101368,0,0.3739
U100124,1,0.3738
U100149,0,0.3735
U101949,0,0.3726
U101191,0,0.3718
U100733,0,0.3713
U100608,0,0.368
U101052,0,0.3678
U100463,1,0.3675
U100045,0,0.3673
U100173,0,0.3669
U101753,0,0.3668
U101189,0,0.3662
U100651,0,0.366
U101137,0,0.365
U101481,0,0.3649
U100440,0,0.3645
U100920,1,0.3644
U101361,0,0.3642
U100653,0,0.3633
U100985,0,0.3632
U100637,0,0.3629
U100917,0,0.3618
U100042,0,0.3612
U102001,0,0.3608
U101089,0,0.3606
U100628,0,0.3606
U101121,0,0.3599
U100332,0,0.3597
U101410,0,0.358
U101024,0,0.3579
U101508,0,0.3578
U100047,0,0.3577
U101258,0,0.357
U101353,0,0.3568
U100221,0,0.3565
U101831,0,0.3564
U101990,0,0.3561
U100959,0,0.356
U101370,1,0.3559
U101774,0,0.3557
U102000,0,0.3546
U101671,0,0.3546
U101471,0,0.3535
U101044,1,0.3528
U100859,0,0.352
U100342,0,0.3519
U101956,0,0.3501
U100681,0,0.3496
U101515,1,0.3492
U101974,0,0.3489
U100572,0,0.3484
U101732,0,0.3479
U101244,0,0.3479
U100647,0,0.3477
U100606,0,0.3474
U100044,0,0.347
U100459,0,0.3466
U101955,0,0.3458
U100848,0,0.3448
U101031,0,0.3445
U101567,0,0.3438
U101735,0,0.3427
U101308,0,0.3418
U100596,0,0.3413
U101133,0,0.3411
U101993,0,0.3408
U101496,1,0.3408
U100768,0,0.3406
U101277,0,0.3401
U100017,0,0.3398
U100216,0,0.3397
U100965,0,0.3392
U100487,0,0.3389
U101601,0,0.3385
U100203,1,0.3368
U101299,0,0.3359
U100028,0,0.3352
U101451,0,0.3348
U101659,0,0.3345
U101631,0,0.334
U100522,0,0.3334
U100869,0,0.3324
U101057,0,0.3318
U101294,0,0.3315
U100519,0,0.3315
U100781,0,0.3309
U101545,0,0.33
U101169,0,0.329
U100064,0,0.3284
U101227,0,0.3283
U100766,0,0.3278
U100012,0,0.3271
U100461,0,0.3261
U101830,0,0.3257
U101517,0,0.3257
U101878,0,0.3254
U101747,1,0.3245
U100544,0,0.3239
U101434,0,0.3238
U101027,0,0.3234
U101835,0,0.3231
U101156,0,0.3224
U100432,0,0.3221
U101723,0,0.321
U101012,0,0.3206
U101911,0,0.32
U100885,0,0.3196
U100416,0,0.3193
U101587,0,0.319
U101190,0,0.3176
U100913,0,0.3161
U101378,0,0.3158
U101405,0,0.3153
U100112,0,0.3152
U100581,0,0.3144
U101519,0,0.3141
U101332,0,0.3135
U100476,0,0.3133
U100449,0,0.3131
U101433,0,0.3127
U101129,0,0.3126
U100387,0,0.3124
U100903,0,0.3117
U100924,1,0.3115
U100135,0,0.3104
U100723,0,0.3098
U101635,0,0.3093
U101398,0,0.3088
U101701,0,0.3088
U100413,0,0.3085
U100380,0,0.308
U101350,0,0.308
U100091,0,0.3071
U101536,0,0.3068
U101235,0,0.3067
U101279,0,0.3058
U101391,0,0.3048
U101642,0,0.3046
U100161,0,0.3044
U100997,0,0.3044
U100665,0,0.3042
U101769,0,0.3041
U100088,0,0.303
U100603,0,0.3024
U101680,0,0.302
U101719,0,0.3017
U101810,1,0.2999
U101080,0,0.2995
U100059,0,0.2991
U101351,0,0.299
U101554,1,0.2986
U101364,0,0.2985
U100995,1,0.2982
U101399,0,0.2972
U101028,0,0.2961
U100814,0,0.2959
U101509,0,0.2958
U101438,0,0.2958
U100674,0,0.2957
U101273,0,0.2951
U100989,0,0.2948
U100914,0,0.2948
U101463,0,0.2937
U101576,0,0.2925
U100034,0,0.2923
U100107,0,0.2915
U101581,0,0.291
U101213,0,0.2909
U100555,0,0.2899
U100102,0,0.2899
U101407,0,0.2889
U100238,0,0.2884
U101647,0,0.2873
U101819,0,0.2858
U100527,0,0.2856
U101675,0,0.2855
U101199,0,0.2852
U100602,0,0.2847
U100907,1,0.2844
U100298,0,0.2843
U100361,0,0.2836
U101183,0,0.2835
U100274,0,0.2828
U100418,0,0.2823
U101301,0,0.2822
U100591,0,0.2818
U100729,0,0.2818
U101274,0,0.2817
U101702,0,0.2813
U101904,0,0.2788
U101440,0,0.2775
U100243,0,0.2772
U101344,0,0.2772
U100381,0,0.2766
U100876,0,0.2763
U100657,0,0.275
U100085,0,0.2741
U100026,0,0.274
U101884,0,0.273
U101885,0,0.2728
U101048,0,0.2724
U101842,0,0.2714
U100082,0,0.2696
U100268,0,0.2695
U100633,0,0.2689
U101548,1,0.2686
U100330,0,0.2681
U101055,1,0.268
U101285,0,0.2678
U101811,0,0.2674
U100689,0,0.2672
U100533,0,0.2665
U100504,0,0.2662
U101266,0,0.2659
U101126,0,0.2655
U100562,1,0.2651
U101485,0,0.2648
U101025,0,0.2647
U101427,0,0.2645
U101896,0,0.2645
U101165,0,0.2642
U101494,0,0.2634
U100240,0,0.2631
U100174,0,0.2631
U101200,0,0.2615
U101784,0,0.2613
U101542,0,0.2613
U101120,0,0.2611
U101397,1,0.2602
U101852,0,0.2599
U100327,0,0.2598
U101437,0,0.2597
U101488,0,0.2594
U100574,0,0.2594
U100922,0,0.2589
U100857,0,0.2586
U101909,1,0.2567
U100748,0,0.256
U101014,0,0.2554
U100182,0,0.2548
U101528,0,0.2536
U100797,1,0.2533
U100764,0,0.2532
U101679,0,0.2529
U101954,0,0.2528
U100158,0,0.2525
U101653,0,0.2524
U100109,0,0.2523
U100177,0,0.2522
U101839,0,0.2518
U101793,1,0.2518
U101489,0,0.2516
U100200,0,0.2515
U101201,0,0.2513
U101049,0,0.251
U101503,0,0.2506
U100709,0,0.2495
U100713,0,0.2491
U100649,0,0.2485
U101159,0,0.2484
U100314,0,0.2483
U101374,0,0.2482
U100743,0,0.2481
U101369,0,0.2472
U101622,0,0.2471
U101043,0,0.2463
U100738,0,0.2461
U100129,0,0.246
U102002,0,0.2456
U100305,0,0.2455
U101060,0,0.2449
U100038,0,0.2447
U100678,0,0.244
U100569,0,0.2439
U101960,0,0.2439
U101305,0,0.2434
U100213,0,0.2432
U100663,0,0.2427
U100805,0,0.2423
U100266,0,0.242
U100536,0,0.2418
U100415,0,0.2417
U101633,0,0.2409
U100405,0,0.2407
U101673,0,0.2402
U100706,0,0.2393
U100048,0,0.2393
U101163,0,0.2389
U101484,0,0.2383
U100659,0,0.2371
U101512,0,0.2369
U101207,0,0.2369
U100296,0,0.2362
U101004,0,0.236
U101812,0,0.2351
U100422,0,0.2346
U100121,0,0.2345
U101855,0,0.2338
U100003,0,0.2335
U101223,1,0.2316
U100610,0,0.2316
U101312,0,0.2314
U100523,0,0.2314
U100692,0,0.2306
U100377,0,0.2302
U100741,0,0.2283
U101891,0,0.2276
U100552,0,0.2263
U101913,0,0.2262
U101894,0,0.2261
U101897,0,0.2259
U100365,0,0.2246
U101465,0,0.2245
U100363,0,0.2242
U100495,0,0.2238
U101444,0,0.2237
U101290,1,0.2236
U100223,0,0.2235
U100389,0,0.2235
U100531,0,0.2232
U101641,0,0.2224
U100730,0,0.2224
U100747,0,0.2221
U101226,0,0.2214
U100511,0,0.2208
U101694,0,0.2208
U101194,0,0.2204
U101755,0,0.2193
U100902,0,0.2189
U101236,0,0.2186
U101883,0,0.2175
U101757,0,0.2171
U101457,0,0.217
U100451,0,0.217
U100144,0,0.2168
U101084,0,0.2167
U100791,0,0.2167
U100590,0,0.2165
U101767,0,0.2158
U101445,0,0.2136
U100151,0,0.2136
U100196,0,0.2133
U100444,0,0.2132
U101056,1,0.2129
U100139,0,0.2119
U101448,0,0.2115
U101829,0,0.2109
U100395,0,0.2108
U101827,0,0.21
U100236,0,0.2094
U100492,0,0.209
U100701,0,0.208
U100549,0,0.2079
U101880,0,0.2076
U101547,0,0.2069
U101605,0,0.2069
U100690,0,0.2068
U101623,0,0.2065
U100871,0,0.2062
U101338,0,0.206
U101394,0,0.2054
U100475,0,0.205
U101546,0,0.2049
U101317,0,0.2046
U100529,0,0.2046
U101067,0,0.2041
U101996,0,0.2037
U100852,0,0.2037
U101682,0,0.2035
U101023,0,0.2032
U100538,0,0.203
U100983,0,0.2029
U100763,0,0.202
U100944,0,0.2015
U101714,0,0.2015
U101966,0,0.2013
U100708,0,0.2012
U100328,0,0.201
U100956,0,0.1999
U101628,0,0.1984
U102003,0,0.1977
U100070,0,0.1974
U100111,0,0.1974
U101469,0,0.1966
U101579,0,0.1965
U101833,0,0.1964
U100349,0,0.1957
U100856,0,0.1952
U100835,0,0.1948
U100722,0,0.1934
U101857,0,0.1934
U100589,0,0.1933
U100900,0,0.1932
U100235,0,0.1931
U101572,0,0.1925
U101154,0,0.1925
U100525,0,0.1922
U100654,0,0.1917
U100510,0,0.1917
U100359,0,0.1914
U101973,0,0.1913
U101922,0,0.1912
U100783,0,0.1909
U100181,0,0.1908
U100726,0,0.1904
U101758,0,0.1903
U100072,0,0.1901
U101654,0,0.1881
U100375,0,0.1879
U100861,0,0.1878
U101348,0,0.1878
U100455,0,0.1877
U100101,0,0.1875
U101684,0,0.1869
U100113,0,0.1866
U100279,0,0.1861
U100872,0,0.1854
U101337,0,0.1851
U101253,0,0.1849
U100845,0,0.1847
U100114,0,0.1845
U101577,0,0.1844
U101518,0,0.1842
U101822,0,0.1841
U100694,0,0.1838
U101392,0,0.1837
U100918,0,0.1836
U100632,0,0.1836
U100560,0,0.1831
U100646,0,0.183
U101506,0,0.1829
U101750,0,0.1829
U101568,0,0.1827
U100867,0,0.1827
U101867,0,0.1824
U101887,0,0.1816
U100282,0,0.1803
U100071,0,0.1797
U101938,0,0.1795
U100780,0,0.1793
U101889,0,0.179
U101091,0,0.179
U101088,0,0.1786
U101349,0,0.1785
U100928,0,0.1784
U101754,0,0.1784
U100935,0,0.178
U100154,0,0.178
U100598,0,0.1779
U101778,0,0.1777
U101216,0,0.1777
U100392,0,0.1775
U101652,0,0.1773
U101776,0,0.1773
U100594,0,0.1752
U101220,0,0.1748
U100277,0,0.1747
U101790,0,0.1745
U100787,0,0.174
U100789,0,0.174
U101498,0,0.1736
U100640,0,0.1733
U101987,0,0.173
U101108,0,0.1729
U100152,0,0.1727
U101232,0,0.1722
U101965,0,0.1721
U100937,0,0.1719
U100169,0,0.1711
U100425,0,0.1704
U101185,0,0.17
U100648,0,0.1699
U101385,0,0.1696
U100288,0,0.1695
U100954,0,0.1682
U101657,0,0.1682
U101497,0,0.1681
U100940,0,0.1681
U100160,0,0.168
U100897,0,0.1679
U100284,0,0.1678
U101717,0,0.1676
U100398,0,0.1666
U100491,0,0.1663
U101522,0,0.1658
U101551,1,0.1658
U100315,0,0.1652
U100355,0,0.1649
U101320,0,0.1648
U100627,0,0.1647
U100786,0,0.1645
U100930,0,0.1641
U101486,0,0.1641
U100004,0,0.1637
U101607,0,0.1634
U101366,0,0.1634
U101523,0,0.1633
U100276,0,0.1633
U100696,0,0.1631
U100318,0,0.163
U100908,1,0.1626
U101413,0,0.1622
U101417,0,0.1617
U100427,0,0.1617
U101360,0,0.1616
U100402,0,0.161
U100450,0,0.1609
U101145,0,0.1606
U101072,0,0.1605
U100224,0,0.1601
U101814,0,0.16
U101276,0,0.1597
U101430,0,0.1593
U101470,0,0.1592
U101968,0,0.1589
U101736,0,0.1586
U100615,0,0.1585
U101851,0,0.1583
U101017,0,0.1578
U101345,0,0.1578
U100945,0,0.1577
U100403,0,0.1576
U101032,0,0.1573
U101718,0,0.1569
U101059,0,0.1568
U100347,0,0.1564
U101439,0,0.156
U101713,0,0.1559
U100006,0,0.1552
U100041,0,0.155
U101748,0,0.1545
U100499,0,0.1544
U100800,0,0.1542
U101619,0,0.154
U100147,0,0.1539
U101511,0,0.1539
U100543,0,0.1537
U101162,0,0.1532
U101585,0,0.1531
U100947,0,0.1531
U100842,0,0.1527
U100421,0,0.1526
U101310,0,0.1523
U100901,0,0.1522
U100784,0,0.152
U100703,0,0.1515
U101186,0,0.1514
U101346,0,0.1505
U100773,0,0.1498
U100578,0,0.1484
U100252,0,0.1482
U100542,0,0.1481
U100614,0,0.1479
U101951,0,0.1479
U101505,0,0.1476
